symbol,price,eps,eps_forward,pe_ratio,pe_forward,pb_ratio,debt_equity,roe,profit_margin,revenue,market_cap,high_52w,low_52w,earningsGrowth,pe_score,pb_score,roe_score,margin_score,fundamental_score,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,z_pe,z_pb,z_roe,z_de,z_ret1m,z_ret6m,z_rsi,z_macd,value_score,quality_score,overall_score
AAPL,284.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.19,2.79,NA,50,50,50,50,50,284.18,258.86,276.49,269.77,198.51,0.0978,0.0278,0.0534,0.4316,268.7915,261.8236,255.8823,67.2637,1.9574,1.5011,0.4563,282.7797,254.8033,1.0501,0.2631,46003872.7273,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,65.3061,55.102,70,58,50,50,50,50,53.3,50.4,67.9,66.5,50,50,53.2
ABBV,206.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.38,33.71,NA,50,50,50,50,50,206.11,206.69,217.11,219.04,187.15,-0.0028,-0.0507,-0.059,0.1013,205.7295,213.737,218.101,48.2129,-0.9433,-1.4312,0.4879,214.7783,196.6807,0.521,0.2767,6738354.5455,TRUE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,42.8571,30.6122,70,47.7,50,50,50,50,42.9,42,44.8,66.5,50,50,49.1
ACN,179.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.42,26.67,NA,50,50,50,50,50,179.01,198.95,241.65,241.34,303.8,-0.1002,-0.2592,-0.2583,-0.4108,185.812,194.8514,239.4514,37.5023,-2.9925,-2.9079,-0.0846,200.412,171.212,0.2671,0.4198,5114563.6364,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,0,4.0816,30,31.1,50,50,50,50,32.8,27.2,31.8,33.5,50,50,42.4
AMD,355.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.54,1.62,NA,50,50,50,50,50,355.26,220.18,200.19,237.7,98.62,0.6135,0.7746,0.4946,2.6023,297.6495,241.3778,213.2796,72.5433,11.7574,10.9794,0.7781,383.481,211.818,0.8356,0.6907,40952159.0909,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,100,95.9184,70,83.1,50,50,50,50,100,83.2,74.3,66.5,50,50,63.2
AMGN,329.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.16,39.97,NA,50,50,50,50,50,329.59,342.57,366.2,315.59,270.44,-0.0379,-0.1,0.0444,0.2187,344.575,355.6922,325.1719,37.9159,-1.7863,-1.3006,-0.4857,361.4363,327.7137,0.0556,0.2804,2633672.7273,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,20,24.4898,48.9796,30,39.9,50,50,50,50,39.3,49.7,32.3,33.5,50,50,46
AMZN,273.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.55,1.75,NA,50,50,50,50,50,273.55,212.79,232.99,243.04,185.01,0.2855,0.1741,0.1255,0.4786,253.3175,227.4052,227.8554,80.5099,5.2631,4.9511,0.312,279.2276,227.4074,0.8904,0.2756,49678272.7273,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,85.7143,67.3469,70,68.7,50,50,50,50,72.8,55.8,83.9,66.5,50,50,57.5
AVGO,427.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.36,1.45,NA,50,50,50,50,50,427.36,314.43,308.05,355.59,200.09,0.3592,0.3873,0.2018,1.1358,400.6275,353.093,341.4581,69.2846,5.4433,5.6465,-0.2031,444.6259,356.6291,0.8038,0.3874,21493945.4545,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,65,97.9592,79.5918,30,63.4,50,50,50,50,80.5,61.5,70.3,33.5,50,50,55.4
BAC,53.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.25,3.14,NA,50,50,50,50,50,53.12,50.06,55.38,53.29,40.84,0.0611,-0.0408,-0.0032,0.3007,53.041,50.4468,51.4857,56.9841,1.234,1.5034,-0.2693,54.3161,51.7659,0.531,0.2088,32935259.0909,TRUE,TRUE,TRUE,FALSE,Neutral,FALSE,80,85,48.9796,46.9388,30,46.5,50,50,50,50,49.5,46.2,55.4,33.5,50,50,48.6
BLK,1048.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.59,90.57,NA,50,50,50,50,50,1048.91,959.41,1076.16,1069.4399,914.97,0.0933,-0.0253,-0.0192,0.1464,1041.6495,1008.542,1081.329,55.2944,1.4413,1.4397,0.0016,1081.663,1001.636,0.5907,0.2793,681377.2727,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,53.0612,38.7755,70,53.3,50,50,50,50,52.9,45,53.4,66.5,50,50,51.3
CAT,904.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904.59,22.17,NA,50,50,50,50,50,904.59,721.24,691.82,569.78,320.89,0.2542,0.3076,0.5876,1.819,818.119,755.604,595.7679,73.6691,4.804,3.9779,0.8261,898.7114,737.5266,1.0365,0.4671,2329527.2727,TRUE,TRUE,TRUE,TRUE,Overbought,TRUE,100,30,93.8776,97.9592,70,76.4,50,50,50,50,69.6,90.2,75.6,66.5,50,50,60.6
