symbol,fcf_sec,fcf_latest_sec,fcf_years_sec,ocf_sec,capex_sec,revenue_sec,gross_margin_sec,equity_sec,total_debt_sec,cash_sec,debt_equity_sec,rev_cagr_sec
PRPL,-45352000,-41909000,3,-33830000,8079000,468725000,0.4023,-63767000,126679000,23300000,NA,-0.0418
UTZ,12633333.333333334,9400000,3,112200000,102800000,1438800000,0.249,695900000,838800000,58600000,1.2053,2e-4
CELH,228889333.33333334,323375000,3,359442000,36067000,1318014000,0.9615,1199584000,674850000,631234000,0.5626,0.3814
ALGM,67931333.33333333,124893000,3,163069000,38176000,890096000,0.4628,964276000,287159000,162029000,0.2978,-0.079
XENE,-207036666.66666666,-279917000,3,-279118000,799000,NA,NA,1242396000,NA,119527000,NA,NA
IDYA,-147499666.66666666,-73466000,3,-71098000,2368000,218710000,NA,1198905000,NA,272589000,NA,2.0582
PANW,3067266666.6666665,3469800000,3,3716000000,246200000,9221500000,0.7341,27668000000,NA,2364000000,NA,0.1567
CGEM,-151861666.66666666,-175799000,3,-175750000,49000,NA,NA,408730000,NA,78640000,NA,NA
HUBS,528488333.3333333,707552000,3,760717000,53165000,3131266000,0.8376,1656728000,NA,958314000,NA,0.2012
CAVA,12444000,26141000,3,184840000,158699000,1179664000,0.1529,841276000,NA,322763000,NA,0.2723
MRK,13199666666.666666,12360000000,3,16472000000,4112000000,65011000000,NA,41933000000,53381000000,6849000000,1.273,0.0399
VERX,59068500,116282000,2,165543000,49261000,748444000,0.6435,241107000,338605000,230489000,1.4044,0.1435
AI,-108066666.66666667,-192136000,3,-190228000,1908000,250268000,0.3092,653751000,NA,66197000,NA,-0.1023
COIN,NA,NA,0,2426383000,NA,7181325000,NA,13079665000,5944232000,8614065000,0.4545,0.52
FSLY,20404000,65750000,3,94444000,28694000,NA,NA,990817000,323958000,89798000,0.327,NA
HNST,10712333.333333334,13611000,3,15121000,1510000,371317000,0.3333,167020000,NA,105899000,NA,0.0384
BRZE,27461666.666666668,61850000,3,71438000,9588000,738182000,0.6715,581673000,NA,145289000,NA,0.2508
AXON,178078666.66666666,75081000,3,211339000,136258000,2779536000,0.5965,3674537000,1731817000,597704000,0.4713,0.3345
DDOG,822936333.3333334,1000557000,3,1050135000,49578000,3427158000,0.7996,4367160000,NA,434957000,NA,0.269
SANA,-224987666.66666666,-144766000,3,-143828000,938000,NA,NA,154568000,NA,57073000,NA,NA
