rebalance_date,rank_ic,n_stocks
2024-02-27,0.026267315337160056,193
2024-03-27,0.12016256817318836,193
2024-04-26,0.07366730278969728,193
2024-05-28,-0.06722989961549909,193
2024-06-27,-0.03672601547815429,193
2024-07-29,0.04415835345131439,193
2024-08-27,0.03706907740037106,193
2024-09-26,-0.043748552446842566,193
2024-10-25,0.09173366273217594,193
2024-11-25,-0.057675920153123686,193
2024-12-26,-0.14430652742909034,193
2025-01-29,0.01782674612849117,193
2025-02-28,0.1257638386086113,193
2025-03-31,0.08629357526344406,193
2025-04-30,0.006524265686265302,193
2025-05-30,0.044740105930745004,193
2025-07-01,0.02976607540424277,193
2025-07-31,0.20582869142417476,193
2025-08-29,0.13411420840421884,193
2025-09-30,0.12493077832497779,193
2025-10-29,0.12867589985178285,193
2025-11-28,0.2431537804753702,193
2025-12-30,0.2586870927291561,193
2026-01-30,0.40064833663441446,193
2026-03-03,-0.032006196255383,193
2026-04-01,0.10652976603813899,193
2026-05-01,-0.1025846257854106,193
2026-06-02,-0.1790848576737114,193
