series,label,total_return,cagr,vol,return_vol,max_drawdown,beta,tracking_err,info_ratio,excess_cagr,excess_t,days,excess_t_tranche,n_decisions,tranches,cost_bps,corporate_actions_neutralised,start_date,end_date
model,Model (top quintile),1.1210537422507256,0.3531873454918575,0.2678240466007974,1.3187290311474442,-0.3064185848526306,1.319283295154775,0.17281219153429195,1.0352589303863524,0.17890536456551254,1.5077720995014783,623,1.2829392376145345,10,10,10,0,2024-03-27,2026-09-21
q5,Model (bottom quintile),0.74998209160838325,0.2524550291273815,0.3299476864758077,0.7651365336846874,-0.307319949831117,1.3415832139404897,0.25663256939105566,0.30461078415155,0.07817304820103654,0.6511269429472588,623,0.47227873535704834,10,10,10,0,2024-03-27,2026-09-21
univ,"Universe, equal weight (no signal)",0.6899303202126188,0.23498584730472571,0.21918281629122527,1.0720997716924268,-0.2515095930029976,1.2145677828653247,0.10736126074199452,0.5654168548212322,0.060703866378380766,0.9066045699439502,623,0.9396250670598798,10,10,10,0,2024-03-27,2026-09-21
spy,S&P 500 (SPY),0.4909119015437644,0.17428198092634495,0.1598442272698137,1.0903238978543819,-0.18998904129504912,1,0,NA,0,NA,623,NA,10,10,10,0,2024-03-27,2026-09-21
