sector,changesPercentage,n_stocks
UTILITIES,-2.99,1
COMMUNICATION SERVICES,-1.99,7
BASIC MATERIALS,-0.96,2
FINANCIAL SERVICES,0.35,21
HEALTHCARE,2.11,37
INDUSTRIALS,2.39,23
CONSUMER DEFENSIVE,4.64,17
ENERGY,9.26,2
TECHNOLOGY,11.2,62
CONSUMER CYCLICAL,115.16,23
