symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret,spy_ret,daily_alpha
TXN,2025-06-30,207.08999633789062,208.3800048828125,206.44000244140625,207.6199951171875,5319900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GE,2025-06-30,256.30999755859375,257.8900146484375,253.8699951171875,257.3900146484375,8135800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIN,2025-06-30,466.20001220703125,470.0400085449219,463.54998779296875,469.17999267578125,1856200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNH,2025-06-30,309,312.3800048828125,306.3399963378906,311.9700012207031,10074100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DHR,2025-06-30,198.9199981689453,200.4499969482422,196.02000427246094,197.5399932861328,4537400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRK,2025-06-30,79.25,79.38999938964844,78.37999725341797,79.160003662109375,13895200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XOM,2025-06-30,108.63999938964844,108.83999633789062,107.72000122070312,107.80000305175781,19199000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISRG,2025-06-30,534.41998291015625,544.5,534.41998291015625,543.40997314453125,1584100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT,2025-06-30,386.30999755859375,389.1499938964844,384.80999755859375,388.2099914550781,2791400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABBV,2025-06-30,182.42999267578125,186.25,181.75,185.6199951171875,6482600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WMT,2025-06-30,97.2300033569336,98.13999938964844,96.30999755859375,97.779998779296875,17803000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CVX,2025-06-30,143.0399932861328,144.10000610351562,142.39999389648438,143.19000244140625,6980300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HON,2025-06-30,228.85000610351562,233.55999755859375,228.32000732421875,232.8800048828125,4061139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COST,2025-06-30,985.15997314453125,991.739990234375,979.75,989.94000244140625,2127600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PM,2025-06-30,181,182.47000122070312,180.02999877929688,182.1300048828125,5254100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCD,2025-06-30,290.8800048828125,293.5799865722656,290.8800048828125,292.1700134277344,5054800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMD,2025-06-30,144,146,141.00999450683594,141.89999389648438,42972500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
