formation_days,rebalances,mean_ic,ic_t,pct_negative,ls_spread_ann,ls_t,effect,significant
5,31,0.004930098337040859,0.18022504392692262,0.4838709677419355,-0.06098040368202032,-0.7355608769152844,none,FALSE
10,31,0.032523205784085844,1.4197554849443372,0.3870967741935484,-0.1483801597818452,-1.9517184768540086,none,FALSE
21,31,0.018962554557500545,0.679102812300981,0.3870967741935484,-0.12288954619750227,-1.4442127031128222,none,FALSE
63,31,0.019160548960887463,0.639653627113599,0.5161290322580645,-0.09646952751207703,-0.9884908692925887,none,FALSE
