symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
COST,7360574,7577940,3.67,2026-09-15,NA,0.02,finra,443479000,shares outstanding,Stable,0,FALSE,17.19,44.27,0,40,19.15,1,19.15,No Signal,1.7%
FTNT,13718909,13556993,3.53,2026-09-15,NA,0.02,finra,733714000,shares outstanding,Stable,0,FALSE,19.79,40.62,0,40,19.07,1,19.07,No Signal,1.9%
MLI,5355366,4816170,3.82,2026-09-15,NA,0.02,finra,221181000,shares outstanding,Increasing,0,FALSE,25,47.92,0,20,18.83,1,18.83,No Signal,2.4%
TMO,5019933,5690588,2.74,2026-09-15,NA,0.01,finra,369747000,shares outstanding,Decreasing,0,FALSE,13.02,17.71,0,80,18.8,1,18.8,No Signal,1.4%
IBKR,12396995,10298397,3.48,2026-09-15,NA,0.03,finra,453078000,shares outstanding,Increasing,0,FALSE,30.73,38.54,0,20,18.39,1,18.39,No Signal,2.7%
MA,7201181,7591013,3.17,2026-09-15,NA,0.01,finra,869464000,shares outstanding,Decreasing,0,FALSE,0.52,30.73,0,80,18.28,1,18.28,No Signal,0.8%
RBLX,24288353,23416828,2.54,2026-09-15,NA,0.04,finra,669993000,shares outstanding,Stable,0,FALSE,38.54,13.02,0,40,18.24,1,18.24,No Signal,3.6%
PANW,21871670,21411706,3.02,2026-09-15,NA,0.03,finra,818000000,shares outstanding,Stable,0,FALSE,27.6,26.56,0,40,18.21,1,18.21,No Signal,2.7%
MRK,34430712,30287347,4.23,2026-09-15,NA,0.01,finra,2467172000,shares outstanding,Increasing,0,FALSE,14.06,58.33,0,20,18.18,1,18.18,No Signal,1.4%
PG,24213298,28151807,2.84,2026-09-15,NA,0.01,finra,2322672000,shares outstanding,Decreasing,0,FALSE,6.77,22.4,0,80,18.17,1,18.17,No Signal,1%
QCOM,38316643,33718025,3.06,2026-09-15,NA,0.04,finra,1068060000,shares outstanding,Increasing,0,FALSE,38.02,28.12,0,20,18.13,1,18.13,No Signal,3.6%
UNH,13216124,15287263,2.47,2026-09-15,NA,0.01,finra,897595000,shares outstanding,Decreasing,0,FALSE,15.1,11.46,0,80,18.07,1,18.07,No Signal,1.5%
DHR,8344032,9639180,2.69,2026-09-15,NA,0.01,finra,702986000,shares outstanding,Decreasing,0,FALSE,10.42,16.67,0,80,17.94,1,17.94,No Signal,1.2%
HOOD,36165147,35537085,1.52,2026-09-15,NA,0.05,finra,790630000,shares outstanding,Stable,0,FALSE,46.35,1.56,0,40,17.9,1,17.9,No Signal,4.6%
DDOG,10267560,10220303,2.71,2026-09-15,NA,0.03,finra,334905000,shares outstanding,Stable,0,FALSE,32.81,17.19,0,40,17.64,1,17.64,No Signal,3.1%
MYRG,708335,672639,2.65,2026-09-15,NA,0.05,finra,15569200,shares outstanding,Increasing,0,FALSE,45.83,15.62,0,20,17.58,1,17.58,No Signal,4.5%
SENEA,248882,210876,2.59,2026-09-15,NA,0.05,finra,5221200,shares outstanding,Increasing,0,FALSE,46.88,14.06,0,20,17.53,1,17.53,No Signal,4.8%
TSLA,68862357,74230933,1.72,2026-09-15,NA,0.02,finra,3949547000,shares outstanding,Decreasing,0,FALSE,18.75,3.12,0,80,17.31,1,17.31,No Signal,1.7%
STRL,1201636,1203339,2.19,2026-09-15,NA,0.04,finra,30588500,shares outstanding,Stable,0,FALSE,40.62,5.73,0,40,17.3,1,17.3,No Signal,3.9%
CRS,1771239,1501299,2.91,2026-09-15,NA,0.04,finra,49558600,shares outstanding,Increasing,0,FALSE,37.5,23.96,0,20,17.17,1,17.17,No Signal,3.6%
AAPL,128753092,139749097,2.85,2026-09-15,NA,0.01,finra,14594180000,shares outstanding,Decreasing,0,FALSE,2.08,22.92,0,80,17.1,1,17.1,No Signal,0.9%
CAT,8377107,7554705,3.7,2026-09-15,NA,0.02,finra,459675000,shares outstanding,Increasing,0,FALSE,19.27,44.79,0,20,16.78,1,16.78,No Signal,1.8%
ZS,6501392,6352963,1.47,2026-09-15,NA,0.04,finra,163055000,shares outstanding,Stable,0,FALSE,42.19,1.04,0,40,16.76,1,16.76,No Signal,4%
BLK,2040079,1911216,4.03,2026-09-15,NA,0.01,finra,154869000,shares outstanding,Increasing,0,FALSE,12.5,53.12,0,20,16.75,1,16.75,No Signal,1.3%
OKTA,8205342,7690988,2.22,2026-09-15,NA,0.05,finra,167140000,shares outstanding,Increasing,0,FALSE,47.92,6.77,0,20,16.33,1,16.33,No Signal,4.9%
PRPL,113699,100495,3.25,2026-09-15,NA,0.03,finra,4353100,shares outstanding,Increasing,0,FALSE,26.56,33.33,0,20,16.31,1,16.31,No Signal,2.6%
ZM,7058003,7131426,2.59,2026-09-15,NA,0.03,finra,263233000,shares outstanding,Stable,0,FALSE,28.12,14.06,0,40,15.84,1,15.84,No Signal,2.7%
AMZN,81440414,92067423,2.77,2026-09-15,NA,0.01,finra,10786314000,shares outstanding,Decreasing,0,FALSE,0,18.75,0,80,15.75,1,15.75,No Signal,0.8%
ISRG,8117017,7727998,3.35,2026-09-15,NA,0.02,finra,358278000,shares outstanding,Increasing,0,FALSE,22.92,34.9,0,20,15.71,1,15.71,No Signal,2.3%
FHN,13712521,11217078,2.9,2026-09-15,NA,0.03,finra,473777000,shares outstanding,Increasing,0,FALSE,31.77,23.44,0,20,15.63,1,15.63,No Signal,2.9%
CRM,32348247,29211825,2.47,2026-09-15,NA,0.04,finra,823000000,shares outstanding,Increasing,0,FALSE,41.15,11.46,0,20,15.58,1,15.58,No Signal,3.9%
ATI,4335143,3700619,2.79,2026-09-15,NA,0.03,finra,136170000,shares outstanding,Increasing,0,FALSE,33.85,19.79,0,20,15.42,1,15.42,No Signal,3.2%
AMKR,9900880,9385236,2.37,2026-09-15,NA,0.04,finra,248452000,shares outstanding,Increasing,0,FALSE,41.67,9.38,0,20,15.29,1,15.29,No Signal,4%
MDB,2879053,2946402,1.13,2026-09-15,NA,0.04,finra,80556000,shares outstanding,Stable,0,FALSE,36.98,0,0,40,15.24,1,15.24,No Signal,3.6%
JNJ,21188522,21670595,3.65,2026-09-15,NA,0.01,finra,2409899000,shares outstanding,Stable,0,FALSE,1.56,43.75,0,40,15.14,1,15.14,No Signal,0.9%
