component,rebalances,mean_ic,ic_sd,t_stat,pct_positive,label,significant
ann_alpha,28,0.07934927449693621,0.14184729964444137,2.9600626527051412,0.7142857142857143,Annualised alpha,TRUE
score,28,0.07913636923256186,0.137920490755651,3.036171804534612,0.7142857142857143,Blended score (baseline),TRUE
ir,28,0.07723922523979947,0.13792909839366846,2.9632004243303816,0.7142857142857143,Information ratio,TRUE
streak,28,0.046092396834287654,0.12150549748159466,2.007300441247911,0.6785714285714286,Positive-alpha streak,TRUE
hit_rate,28,0.044639039643935355,0.11293587201729809,2.0915196483277976,0.6428571428571429,Hit rate vs SPY,TRUE
alpha_63d,28,0.041776936423573226,0.15689683525672365,1.4089689461750212,0.6071428571428571,"Alpha, trailing 63d",FALSE
