symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
BARK,2026-08-18,"BARK, Inc.",CONSUMER CYCLICAL,SPECIALTY RETAIL,93045000,NA,NA,1.199,-3.73,-3.73,-0.367,-0.0814,-0.0842,8e-4,370797000,43,-21510000,-5.81,0,-0.234,1.954,15.5,0,2,0,0,0,9033500,NA,NA,0.301,8.44,20.8,8.15
BBAI,2026-08-18,BigBearai Holdings Inc,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,1539177000,NA,NA,2.035,-0.02,-0.02,-0.166,-0.0758,-0.652,-0.745,131627000,0.294,-71517000,-3.258,0,0.132,3.181,4,0,1,2,0,0,479494000,NA,NA,9.66,1.607,9.39,2.59
BLK,2026-08-13,BlackRock Inc,FINANCIAL SERVICES,ASSET MANAGEMENT,188620243000,27.84,20.33,3.041,41.7,41.7,0.123,0.0374,0.241,0.351,27299000000,175.98,11116000000,15.76,0.196,0.306,1.425,1314.44,5,10,2,0,0,154869000,0.019,1.217,6.46,371.7,1200.54,912.25
BMRN,2026-08-16,Biomarin Pharmaceutical Inc,HEALTHCARE,BIOTECHNOLOGY,13039129000,182.05,13.57,2.062,0.37,0.37,0.0118,0.0326,0.0214,0.212,3406614000,17.69,645319000,42.43,-0.813,0.199,0.227,90.56,6,13,6,0,0,193574000,NA,0.526,4.803,32.66,70.98,49.26
BRCC,2026-08-18,BRC Inc.,CONSUMER DEFENSIVE,PACKAGED FOODS,212569000,NA,71.43,4.399,-0.03,-0.03,-0.184,0.0158,-0.0089,0.0103,429698000,3.765,10158000,45.14,0,0.128,1.251,2.25,0,2,0,0,0,119820000,NA,NA,0.601,0.404,1.855,0.6
BRZE,2026-08-18,Braze Inc,TECHNOLOGY,SOFTWARE - APPLICATION,3148055000,NA,45.25,5.6,-1.08,-1.08,-0.228,-0.0758,-0.155,-0.13,787122000,7.19,-108043000,-18.23,0,0.302,0.83,34.95,6,15,0,0,0,112632000,NA,1.506,3.749,5.2,37.33,15.26
CALM,2026-08-18,Cal-Maine Foods Inc,CONSUMER DEFENSIVE,FARM PRODUCTS,3773775000,12.22,19.8,1.445,6.58,6.58,0.122,0.0693,0.109,-0.11,2911632000,61.1,467694000,6.16,-0.898,-0.499,0.225,88,0,1,3,0,0,46917100,0.0303,2.198,0.989,56.04,114.1,70.97
CAT,2026-08-13,Caterpillar Inc,INDUSTRIALS,FARM & HEAVY CONSTRUCTION MACHINERY,393297822000,36.36,33.33,19.85,23.53,23.53,0.57,0.0903,0.145,0.222,74728997000,160.78,16251000000,25.16,0.682,0.24,1.605,970.71,1,13,12,1,1,459675000,0.0073,1.867,5.67,42.19,1071.47,401.84
CAVA,2026-08-18,"CAVA Group, Inc.",CONSUMER CYCLICAL,RESTAURANTS,8295576000,134,136.99,10.33,0.53,0.53,0.0832,0.035,0.0482,0.0762,1373929000,11.82,160631000,47.94,0.198,0.313,1.75,87.7,4,14,8,1,0,116806000,NA,NA,6.39,7.2,98.79,43.41
CELH,2026-08-18,Celsius Holdings Inc,CONSUMER DEFENSIVE,BEVERAGES - NON-ALCOHOLIC,7577134000,130.2,19.8,6.14,0.23,0.23,0.0511,0.0905,0.0424,0.191,3047274000,11.86,685521000,39.32,-0.569,0.106,0.916,40.95,7,13,3,0,0,253035000,NA,0.312,3.005,4.735,66.74,23.56
CFR,2026-08-18,Cullen/Frost Bankers Inc,FINANCIAL SERVICES,BANKS - REGIONAL,10445347000,16.08,16.42,2.361,10.45,10.45,0.155,0.013,0.302,0.372,2264467000,35.77,NA,NA,0.128,0.061,0.519,169.5,2,3,7,2,1,62149000,0.0237,3.816,4.758,72.04,170.8,116.34
CGEM,2026-08-07,Cullinan Oncology LLC,HEALTHCARE,BIOTECHNOLOGY,1082276000,NA,6.74,2.771,-3.37,-3.37,-0.482,-0.306,0,0,0,0,-240035008,-1.457,0,0,-0.023,31.64,1,11,0,0,0,61458000,NA,NA,11.55,5.96,19.43,5.68
COIN,2026-08-07,Coinbase Global Inc,FINANCIAL SERVICES,FINANCIAL DATA & STOCK EXCHANGES,39546515000,NA,107.53,2.95,-3.85,-3.85,-0.0785,0.0112,-0.163,-0.139,6043753000,22.82,699549000,30.69,4.306,-0.173,3.361,200.07,3,19,9,2,1,222803000,NA,1.403,5.77,49.59,402.16,139.11
COST,2026-08-13,Costco Wholesale Corp,CONSUMER DEFENSIVE,DISCOUNT STORES,421116412000,47.38,42.02,12.61,20.04,20.04,0.291,0.0867,0.0301,0.0367,293586993000,661.29,13790000000,28.39,0.455,0.215,0.86,1077.31,4,19,14,1,1,443479000,0.0057,4.622,1.399,37.28,1094.76,840.35
CRM,2026-08-13,Salesforce.com Inc,TECHNOLOGY,SOFTWARE - APPLICATION,161727939000,22.88,14.51,4.725,8.45,8.45,0.169,0.057,0.187,0.218,42829001000,46.2,12895000000,14.01,0.522,0.133,1.152,241.72,5,34,12,0,2,819000000,0.0085,0.82,4.479,41.8,267.75,146.32
CRNX,2026-08-07,Crinetics Pharmaceuticals Inc,HEALTHCARE,BIOTECHNOLOGY,8903510000,NA,NA,6.9,-5.05,-5.05,-0.424,-0.263,0,-5.27,42156000,0.423,-544849984,-13.4,0,23.36,0.088,85.5,0,1,13,0,0,106095000,NA,NA,420.52,11.27,84.08,26.5
CROX,2026-08-07,Crocs Inc,CONSUMER CYCLICAL,FOOTWEAR & ACCESSORIES,6583818000,12.53,10.19,4.889,10.96,10.96,0.423,0.12,0.146,0.242,4054866000,79.38,926537000,8.97,-0.042,0.026,1.526,135.75,2,5,7,1,0,47945100,NA,1.393,2.044,28.77,141.28,73.2
CRS,2026-08-07,Carpenter Technology Corporation,INDUSTRIALS,METAL FABRICATION,28340177000,54.07,23.36,12.72,10.55,10.55,0.258,0.12,0.17,0.243,3124200000,62.48,849100000,34.03,0.459,0.126,1.283,608.11,1,7,1,0,0,49685600,0.0014,1.591,9.16,44.64,625.99,227.57
CRWD,2026-08-16,Crowdstrike Holdings Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,220911337000,NA,175.44,47.67,-0.02,-0.02,-0.0025,-0.01,-0.006,-0.0221,5094200000,5.06,59319000,660.6,5.33,0.256,1.234,198.35,10,31,11,0,1,1018259000,NA,7.06,42.63,4.551,227.5,85.68
CVX,2026-08-13,Chevron Corp,ENERGY,OIL & GAS INTEGRATED,385651212000,18.94,12.72,2.014,10.38,10.38,0.122,0.0586,0.0983,0.219,209383997000,106.25,50661999000,7.34,3.219,0.535,0.488,216.96,6,14,4,1,0,1961603000,0.0355,0.753,1.969,96.8,212.76,143.75
CXM,2026-08-07,Sprinklr Inc,TECHNOLOGY,SOFTWARE - APPLICATION,1548252000,55.08,20.7,3.05,0.12,0.12,0.0508,0.0291,0.0329,0.0454,871179000,3.53,56977000,15.34,-0.902,0.068,0.607,7.88,1,2,5,0,1,133099000,NA,0.824,1.252,2.088,8.85,4.715
DDOG,2026-08-16,Datadog Inc,TECHNOLOGY,SOFTWARE - APPLICATION,91729306000,500.9,104.17,21,0.51,0.51,0.047,0.0018,0.0448,0.0067,3966725000,11.26,82897000,312.47,14.98,0.356,1.509,285.18,10,32,3,1,1,334905000,NA,1.565,22.19,11.21,292.72,98.01
DECK,2026-08-07,Deckers Outdoor Corporation,CONSUMER CYCLICAL,FOOTWEAR & ACCESSORIES,13524220000,14.21,13.32,5.91,6.99,6.99,0.426,0.203,0.184,0.152,5527289000,38.73,1326979000,8.97,0.011,0.057,1.167,122.81,5,8,11,2,0,136182000,NA,1.222,2.256,16.83,125.45,78.91
DHR,2026-08-13,Danaher Corporation,HEALTHCARE,DIAGNOSTICS & RESEARCH,144667492000,37.01,24.57,2.799,5.56,5.56,0.0761,0.0395,0.16,0.198,25106999000,35.47,8028000000,22.33,0.597,0.055,0.796,227.96,5,17,4,0,0,702986000,0.0069,1.365,6.75,74.81,241.78,160.6
DKNG,2026-08-16,DraftKings Inc,CONSUMER CYCLICAL,GAMBLING,12977309000,NA,25.91,22.79,-0.35,-0.35,-0.211,-0.0242,-0.0268,-0.0472,6222523000,12.55,122832000,126.89,1.846,-0.046,1.627,34.84,5,24,6,0,1,496454000,NA,0.106,2.235,1.148,48.78,20.46
DKS,2026-08-07,Dick’s Sporting Goods Inc,CONSUMER CYCLICAL,SPECIALTY RETAIL,17929148000,19.52,13.72,3.129,10.26,10.26,0.209,0.074,0.0471,0.106,19204948000,224.79,2217055000,13.12,0.093,0.627,1.186,250.14,3,12,9,0,2,65932000,0.0243,1.352,1.267,63.27,244.38,184.42
DOCN,2026-08-07,DigitalOcean Holdings Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,14289677000,56.59,97.09,15.48,2.16,2.16,0.623,0.0386,0.233,0.104,1011113000,10.63,308634000,38.66,-0.245,0.286,1.586,175.21,3,10,3,0,0,116908000,NA,1.538,15.07,8.51,187.5,28.79
DOCU,2026-08-16,DocuSign Inc,TECHNOLOGY,SOFTWARE - APPLICATION,11846203000,40.29,13.02,6.23,1.54,1.54,0.164,0.0551,0.0959,0.134,3286081000,16.42,387453000,20.9,0.176,0.087,0.871,59.33,3,2,16,0,1,190945000,NA,0.7,3.256,9.43,86.65,40.16
DUOL,2026-08-07,Duolingo Inc,TECHNOLOGY,SOFTWARE - APPLICATION,6418202000,15.53,19.96,4.513,8.87,8.87,0.37,0.0587,0.384,0.154,1098813000,23.79,177405000,29.86,0.236,0.265,0.881,114.91,2,2,19,1,0,40237100,NA,NA,4.661,29.71,415.76,87.89
ENTG,2026-08-07,Entegris Inc,TECHNOLOGY,SEMICONDUCTOR EQUIPMENT & MATERIALS,22240041000,83.17,40.98,5.44,1.75,1.75,0.0767,0.0418,0.0919,0.186,3326100000,21.85,920700000,29.86,0.751,0.115,1.35,163.64,1,5,4,1,0,152800000,0.0014,1.745,7.83,27.2,186.78,67.81
ERAS,2026-08-07,Erasca Inc,HEALTHCARE,BIOTECHNOLOGY,6342018000,NA,NA,16.01,-0.91,-0.91,-0.699,-0.179,0,0,0,0,-130678000,-1.574,0,0,0.652,22.8,2,6,2,0,0,347127000,NA,NA,NA,1.266,24.28,1.33
ETSY,2026-08-16,"Etsy, Inc.",CONSUMER CYCLICAL,INTERNET RETAIL,7333362000,25.28,20.08,21.42,3.16,3.16,-12.24,0.105,0.0711,0.187,2941756000,30.16,470799000,16.14,-0.071,0.062,1.817,85.92,3,5,21,1,0,91782000,NA,1.053,3.181,-15.1,87.97,44
EXP,2026-08-07,Eagle Materials Inc,BASIC MATERIALS,BUILDING MATERIALS,6695503000,17.2,16.58,4.456,12.69,12.69,0.27,0.0923,0.173,0.217,2324934000,73.59,704889000,11.11,-0.125,0.026,1.378,226.78,0,1,9,0,0,30675300,0.0046,2.085,3.522,48.27,245.53,171.79
FHN,2026-08-16,First Horizon Corporation,FINANCIAL SERVICES,BANKS - REGIONAL,12422437000,12.61,12.36,1.464,2.08,2.08,0.115,0.0129,0.302,0.413,3501000000,7.18,NA,NA,0.2,0.09,0.622,28.11,3,5,11,0,0,473777000,0.0246,1.756,4.459,17.9,26.43,19.39
FIGS,2026-08-07,Figs Inc,CONSUMER CYCLICAL,APPAREL MANUFACTURING,1877611000,48.87,42.02,4.151,0.23,0.23,0.1,0.0493,0.061,0.028,666099000,4.05,53288000,29.48,7.48,0.28,1.016,18.25,1,4,4,0,0,158764000,NA,NA,2.358,2.583,17.48,6.12
FIVE,2026-08-07,Five Below Inc,CONSUMER CYCLICAL,SPECIALTY RETAIL,12395006000,28.02,22.27,5.19,8,8,0.211,0.0737,0.0867,0.12,5079222000,92.07,757477000,17.01,1.956,0.325,0.975,260.48,2,13,10,0,0,55295000,NA,0.984,2.537,41.82,251.63,131.4
FIZZ,2026-08-07,National Beverage Corp,CONSUMER DEFENSIVE,BEVERAGES - NON-ALCOHOLIC,2991843000,16.39,16.42,4.66,1.95,1.95,0.34,0.189,0.156,0.169,1180552000,12.61,252785000,10.57,-0.085,-0.053,0.756,33,0,0,0,1,0,93612000,0,4.032,2.263,6.84,42.47,27.8
FROG,2026-08-07,Jfrog Ltd,TECHNOLOGY,SOFTWARE - APPLICATION,10237039000,NA,84.75,10.46,-0.52,-0.52,-0.0714,-0.0373,-0.109,-0.0738,563410000,4.78,-52097000,-62.99,0,0.258,1.248,94.38,4,16,2,0,0,121120000,NA,NA,15.86,7.63,99.22,34.05
FSLY,2026-08-07,"Fastly, Inc. Class A Common Stock",TECHNOLOGY,SOFTWARE - APPLICATION,3612924000,NA,68.49,3.628,-0.6,-0.6,-0.107,-0.044,-0.158,-0.138,652565000,4.366,-55247000,-18.37,0,0.198,0.36,24.4,1,4,6,0,1,159300000,NA,NA,5.54,6.25,34.82,6.7
FTNT,2026-08-16,Fortinet Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,117401518000,56.54,51.55,75.69,2.83,2.83,1.174,0.142,0.282,0.336,7527400000,10.14,2595800000,40.66,0.439,0.256,1.058,160.86,1,10,29,3,1,733714000,NA,2.196,15.12,2.114,172.09,73.55
GE,2026-08-13,GE Aerospace,INDUSTRIALS,AEROSPACE & DEFENSE,379052687000,43.49,46.95,21.57,8.4,8.4,0.482,0.0507,0.177,0.206,50639000000,48.27,11483000000,31.18,0.194,0.211,1.366,404.9,3,16,1,0,2,1037563000,0.0045,5.39,7.71,17,388.84,262.47
GGG,2026-08-07,Graco Inc,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,13361191000,25.94,25.32,5.28,3.18,3.18,0.212,0.127,0.235,0.297,2267210000,13.73,734998000,16.86,0.145,0.033,0.916,91.29,2,2,7,0,0,161954000,0.0141,2.652,5.68,15.58,94.99,72.22
GOOGL,2026-08-13,Alphabet Inc Class A,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,4201472066000,17.24,17.45,7.02,19.93,19.93,0.487,0.13,0.548,0.34,445865984000,36.84,173164003000,13.01,2.94,0.242,1.237,428.04,13,45,6,0,0,5867156000,0.0025,0.969,9.54,50.9,408.37,196.04
GRMN,2026-08-16,Garmin Ltd,TECHNOLOGY,SCIENTIFIC & TECHNICAL INSTRUMENTS,59822862000,32.05,31.06,6.63,9.68,9.68,0.219,0.122,0.245,0.304,7671438000,39.84,2311467000,24.8,0.353,0.114,0.874,290.29,0,2,4,0,2,192853000,0.0135,3.783,7.47,46.8,314.28,184.35
HALO,2026-08-07,Halozyme Therapeutics Inc,HEALTHCARE,BIOTECHNOLOGY,9914861000,29.23,11.53,44.96,2.86,2.86,0.994,0.221,0.231,0.49,1508458000,12.72,953010000,18.76,0.312,0.422,0.848,86.89,2,4,3,1,0,118613000,NA,-2.5,7.76,1.853,86,61.23
HD,2026-08-13,The Home Depot Inc,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,353457930000,25.19,23.58,25.21,14.07,14.07,1.284,0.125,0.0841,0.119,166592004000,167.68,24946000000,16.42,-0.043,0.048,0.959,372.78,4,17,15,0,0,997117000,0.0198,1.978,2.469,13.92,418.06,286.95
HNST,2026-08-07,Honest Company Inc,CONSUMER DEFENSIVE,HOUSEHOLD & PERSONAL PRODUCTS,581481000,NA,48.54,2.373,-0.24,-0.24,-0.109,0.0129,-0.053900000000000003,0.0081,352166000,3.144,7783000,19.18,3.297,-0.197,2.171,4.067,0,3,3,0,1,107284000,NA,NA,0.916,1.501,5.84,2.07
HON,2026-08-13,Honeywell International Inc,INDUSTRIALS,CONGLOMERATES,74588660000,8.85,24.51,4.154,26.59,26.59,0.466,0.0572,0.216,0.203,38057001000,119.9,8512000000,7.58,2.639,0.043,0.918,263.11,3,12,8,0,1,316940000,0.0408,3.834,2.675,58.49,258.86,193.84
HOOD,2026-08-07,Robinhood Markets Inc,FINANCIAL SERVICES,CAPITAL MARKETS,83434840000,41.24,42.37,8.21,2.25,2.25,0.236,0.0453,0.42,0.439,4932000000,5.5,138119000,35.73,0.476,0.323,2.321,119.51,4,18,4,1,1,790630000,NA,2.34,17.11,10.54,153.86,63.52
HUBB,2026-08-07,Hubbell Inc,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,27133753000,30.39,24.69,6.78,16.9,16.9,0.244,0.0843,0.145,0.217,6223600000,117.43,1515500000,21.59,-0.009,0.153,0.899,566.3,0,6,5,0,1,52833000,0.0111,2.328,5.09,74.04,563.81,400.19
