series,label,total_return,cagr,vol,return_vol,max_drawdown,beta,tracking_err,info_ratio,excess_cagr,excess_t,days,excess_t_tranche,n_decisions,tranches,cost_bps,corporate_actions_neutralised,start_date,end_date
model,Model (top quintile),1.075612918968322,0.3410168174120878,0.3060220252636815,1.1143538348857513,-0.32816086951829726,1.5052784298519604,0.20632834510616657,0.8434271659764968,0.17402293137351466,1.3261685986740528,624,1.3443546364023349,10,10,10,0,2024-03-20,2026-09-15
q5,Model (bottom quintile),0.9898838064186717,0.3184799006711947,0.29880735542197534,1.065836884173878,-0.2678266429835222,1.1565299562614009,0.23649020252203948,0.640559367860087,0.15148601463262157,1.0265238827574181,624,0.698990104219419,10,10,10,0,2024-03-20,2026-09-15
univ,"Universe, equal weight (no signal)",0.6747169872664049,0.23022079704910214,0.21893569604807156,1.0515452765571527,-0.2515095930029979,1.2164890476797423,0.10736900833655615,0.588874871716609,0.06322691101052902,0.9419295460403525,624,0.9101372272941058,10,10,10,0,2024-03-20,2026-09-15
spy,S&P 500 (SPY),0.46863543925581097,0.16699388603857312,0.15938929931560855,1.0477107732803734,-0.18998904129504923,1,0,NA,0,NA,624,NA,10,10,10,0,2024-03-20,2026-09-15
