symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
AVGO,374.45,494.18,270.99,2026-07-17,SEMICONDUCTORS,1781475967000,62.51,21.1,21.39,5.99,5.99,0.373,0.121,0.389,0.49,75464999000,15.94,42084000000,45.33,0.854,0.479,1.462,524.51,7,37,4,0,0,4757580000,0.0064,0.443,25.46,18.43,25,20,95,90,48,76.6,0.4007477633862999,59.91
LLY,1169.17,1249.45,619.4,2026-07-10,DRUG MANUFACTURERS - GENERAL,1084205892000,43.86,33.44,34.7,27.72,27.72,1.075,0.207,0.35,0.494,72249000000,80.61,36215001000,30.94,1.699,0.555,0.506,1228.25,6,17,5,1,1,891741000,0.005,1.57,15.51,34.92,25,20,95,90,30,71.7,0.05053157368047412,59.42
AAPL,333.26,334.68,200.7,2026-07-17,CONSUMER ELECTRONICS,4810109092000,39.7,34.36,45.17,8.25,8.25,1.415,0.262,0.272,0.323,451442016000,30.53,159975997000,30.17,0.218,0.166,1.097,315.79,6,22,16,1,2,14687356000,0.0033,2.646,10.69,7.26,25,20,95,90,47,65.4,-0.0524215327372021,58.79
TXN,291.22,334.03,150.97,2026-07-11,SEMICONDUCTORS,280790925000,51.51,39.53,16.34,5.99,5.99,0.324,0.122,0.291,0.378,18438001000,20.29,8665000000,32.1,0.313,0.186,1.31,298,2,15,17,2,0,910093000,0.0185,1.438,15.36,18.44,25,20,95,90,36,61.8,0.023281368037909388,58.43
GE,345.73,382.49,253.37,2026-07-17,AEROSPACE & DEFENSE,358993002000,42.74,47.62,20.42,8.04,8.04,0.454,0.0485,0.179,0.202,48313000000,45.79,11037000000,30.95,-0.018,0.247,1.348,384.24,3,16,1,0,2,1043337000,0.0043,8.51,7.82,17.31,25,20,95,75,22,70.5,0.11138749891533853,57.05
UNH,423.38,434.3,228.48,2026-07-11,HEALTHCARE PLANS,392027767000,32.05,23.31,3.949,13.47,13.47,0.122,0.0378,0.0268,0.0805,449713013000,495.82,21464001000,18.96,0.007,0.02,0.633,420.46,6,17,4,1,0,908144000,0.0208,1.475,0.963,107.8,45,60,65,40,28,75,-0.006896877509565912,56.25
XOM,145.95,175.22,102.27,2026-07-11,OIL & GAS INTEGRATED,569764479000,23.74,12.53,2.3,5.79,5.79,0.0987,0.0422,0.0776,0.0636,326008013000,76.48,56007000000,9.69,-0.434,0.026,0.162,167.38,3,8,12,1,0,4144947000,0.0286,1.171,1.915,62.07,60,75,40,40,24,63.5,0.1468311065433368,54.35
ISRG,402.33,603.88,396.68,2026-07-10,MEDICAL INSTRUMENTS & SUPPLIES,147012993000,51.82,40.98,8.63,8.01,8.01,0.172,0.102,0.281,0.309,10582100000,29.7,3885600000,37.05,0.188,0.23,1.46,563.35,6,16,9,1,1,354163000,NA,2.228,13.83,49.31,25,40,65,90,33,68.9,0.4002187259215073,54.14
CAT,877.17,1073.46,402.59,2026-07-17,FARM & HEAVY CONSTRUCTION MACHINERY,411128988000,44.39,38.17,22.99,20.11,20.11,0.513,0.0852,0.133,0.182,70755000000,151.47,14557000000,31.16,0.302,0.222,1.565,970.37,1,14,11,2,0,460592000,0.0066,2.188,6.61,40.51,25,20,95,60,28,62.5,0.10625078377053485,54
RTX,194.36,213.61,141.31,2026-07-11,AEROSPACE & DEFENSE,262872596000,36.62,28.01,3.96,5.33,5.33,0.116,0.0405,0.0803,0.132,90372997000,67.24,15263000000,19.09,0.325,0.087,0.298,215.14,4,11,8,0,0,1346683000,0.014,2.671,3.26,49.22,25,60,65,60,23,70.7,0.1069150030870548,53.82
