symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret,spy_ret,daily_alpha
UNH,2025-07-30,264.79998779296875,266.6300048828125,258.1199951171875,266.0400085449219,22371800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISRG,2025-07-30,497.7099914550781,503.2200012207031,496.95001220703125,500.510009765625,1758800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT,2025-07-30,430,436.8299865722656,426.42999267578125,434.1199951171875,3172600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTX,2025-07-30,157.4499969482422,158.72999572753906,156.4199981689453,158.39999389648438,3998700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABBV,2025-07-30,191.77000427246094,192.6999969482422,188.00999450683594,189.30999755859375,5008400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WMT,2025-07-30,98.61000061035156,98.87999725341797,97.29000091552734,97.589996337890625,13864100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CVX,2025-07-30,156.13999938964844,156.30999755859375,152.6999969482422,153.55999755859375,9191700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XOM,2025-07-30,112.41000366210938,112.61000061035156,111.26000213623047,111.9000015258789,12996900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRK,2025-07-30,82.910003662109375,83.58000183105469,81.5199966430664,81.75,13055200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COST,2025-07-30,935,937.75,925.1400146484375,927.510009765625,1699600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCD,2025-07-30,302.57000732421875,305.42999267578125,301.0799865722656,303.6099853515625,2805900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PM,2025-07-30,162.47000122070312,164.5,162.05999755859375,162.1699981689453,7778700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMD,2025-07-30,175.61000061035156,180.3699951171875,173.8000030517578,179.50999450683594,64820300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSLA,2025-07-30,322.17999267578125,324.45001220703125,311.6199951171875,319.0400085449219,83931900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HON,2025-07-31,219.00563049316406,221.15060424804688,218.74862670898438,219.78651428222656,3090430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.552198532743027e-4,-0.003751229077306739,0.004606448930581042
BAC,2025-07-31,47.7599983215332,48.029998779296875,47.189998626708984,47.27000045776367,40016300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014386960798178472,-0.003751229077306739,-0.010635731720871733
ACN,2025-07-31,271,273.8800048828125,266.1300048828125,267.1000061035156,4794100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02518245947622033,-0.003751229077306739,-0.021431230398913592
GOOGL,2025-07-31,195.7100067138672,195.99000549316406,191.08999633789062,191.89999389648438,51329200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023558769203535168,-0.003751229077306739,-0.01980754012622843
ORCL,2025-07-31,255.77000427246094,260.8699951171875,253.32000732421875,253.77000427246094,15548700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012649633247159064,-0.003751229077306739,0.016400862324465804
JPM,2025-07-31,299.1400146484375,300.9800109863281,295.5,296.239990234375,14749700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011314002580493754,-0.003751229077306739,-0.007562773503187015
INTU,2025-07-31,807.1500244140625,807.1500244140625,783.94000244140625,785.1300048828125,1779100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02757033077169979,-0.003751229077306739,-0.023819101694393052
IBM,2025-07-31,259.57000732421875,259.989990234375,252.22000122070312,253.14999389648438,6739100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02731889496024953,-0.003751229077306739,-0.02356766588294279
MSFT,2025-07-31,555.22998046875,555.45001220703125,531.9000244140625,533.5,51617300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03947472946598163,-0.003751229077306739,0.04322595854328837
META,2025-07-31,775.20001220703125,784.75,765.510009765625,773.44000244140625,38831100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11252711841922625,-0.003751229077306739,0.11627834749653299
NFLX,2025-07-31,118.4800033569336,119,115.77400207519531,115.94000244140625,37129000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02094237262190246,-0.003751229077306739,-0.01719114354459572
QCOM,2025-07-31,153.11000061035156,156.8000030517578,145.5800018310547,146.75999450683594,24440100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07732933006758536,-0.003751229077306739,-0.07357810099027862
PEP,2025-07-31,140.97999572753906,141.57000732421875,137.63999938964844,137.9199981689453,11689700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03457932535559782,-0.003751229077306739,-0.030828096278291084
PG,2025-07-31,151.8000030517578,152,149.91000366210938,150.47000122070312,11845400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015764021357513203,-0.003751229077306739,-0.012012792280206464
MS,2025-07-31,143.1999969482422,144.6999969482422,142,142.4600067138672,5523700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.017110498728890478,-0.003751229077306739,-0.013359269651583738
CRM,2025-07-31,265,265.0400085449219,257.8599853515625,258.3299865722656,7340300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.024470416699030828,-0.003751229077306739,-0.02071918762172409
UPS,2025-07-31,86.9000015258789,87.08000183105469,85.76000213623047,86.160003662109375,15782000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01169989263014315,-0.003751229077306739,-0.00794866355283641
NEE,2025-07-31,70.410003662109375,71.220001220703125,69.69000244140625,71.05999755859375,8845200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.860501046716763e-4,-0.003751229077306739,0.0047372791819784155
V,2025-07-31,348.92999267578125,352.82000732421875,345.0899963378906,345.4700012207031,8641700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015502557307099263,-0.003751229077306739,-0.011751328229792524
MA,2025-07-31,568.57000732421875,579.44000244140625,562.510009765625,566.469970703125,4568300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01316375229273481,-0.003751229077306739,0.01691498137004155
NVDA,2025-07-31,182.89999389648438,183.3000030517578,175.92999267578125,177.8699951171875,221685400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007809500317440987,-0.003751229077306739,-0.004058271240134248
KO,2025-07-31,68.1500015258789,68.6500015258789,67.73999786376953,67.88999938964844,17193400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012509099786931821,-0.003751229077306739,-0.008757870709625082
BLK,2025-07-31,1108.2900390625,1120.949951171875,1103.239990234375,1106.010009765625,498400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0077513250430145675,-0.003751229077306739,-0.004000095965707828
SPGI,2025-07-31,506.2724609375,528.7227783203125,503.6707763671875,521.38128662109375,2636898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04112748709896574,-0.003751229077306739,0.04487871617627248
HD,2025-07-31,369.1700134277344,372.80999755859375,366.8399963378906,367.510009765625,3091600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012282242989581027,-0.003751229077306739,-0.008531013912274288
JNJ,2025-07-31,165.92999267578125,167.07000732421875,164.22999572753906,164.74000549316406,11036200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015066298555742708,-0.003751229077306739,-0.011315069478435968
AMGN,2025-07-31,298.44000244140625,302.9599914550781,293.6300048828125,295.1000061035156,2252700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.020804954425651445,-0.003751229077306739,-0.017053725348344706
AMZN,2025-07-31,235.77000427246094,236.52999877929688,231.39999389648438,234.11000061035156,104357300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017029402351838252,-0.003751229077306739,0.02078063142914499
AVGO,2025-07-31,302.79998779296875,306.95001220703125,290.2300109863281,293.70001220703125,25488500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02947585438530609,-0.003751229077306739,-0.02572462530799935
LLY,2025-07-31,747.29998779296875,766.45001220703125,735.44000244140625,740.07000732421875,5810300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.026326188448208776,-0.003751229077306739,-0.022574959370902037
TMO,2025-07-31,470.7799987792969,483.8699951171875,466.739990234375,467.67999267578125,3413900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02011399205512243,-0.003751229077306739,-0.016362762977815692
AAPL,2025-07-31,208.49000549316406,209.83999633789062,207.16000366210938,207.57000732421875,80698400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007079625476841711,-0.003751229077306739,-0.003328396399534972
TXN,2025-07-31,186.13999938964844,186.91000366210938,179.80999755859375,181.05999755859375,10144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.044639122642192275,-0.003751229077306739,-0.040887893564885536
LIN,2025-07-31,458.4100036621094,467.6000061035156,458.4100036621094,460.260009765625,2228600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012804841129967937,-0.003751229077306739,-0.009053612052661197
GE,2025-07-31,273.07000732421875,274.94000244140625,269.8800048828125,271.0799865722656,4524000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009029432757907907,-0.003751229077306739,-0.005278203680601168
DHR,2025-07-31,201.5,204.02000427246094,196.8000030517578,197.16000366210938,6060700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03348204150758538,-0.003751229077306739,-0.02973081243027864
UNH,2025-07-31,261.3999938964844,261.3999938964844,247.75,249.55999755859375,29606900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06194561140057031,-0.003751229077306739,-0.05819438232326357
ISRG,2025-07-31,497.239990234375,498.9700012207031,479.6000061035156,481.0899963378906,2602200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03880044963901563,-0.003751229077306739,-0.035049220561708894
CAT,2025-07-31,434.1300048828125,441.1499938964844,433.67999267578125,438.0199890136719,4116400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00898367718683768,-0.003751229077306739,0.012734906264144419
RTX,2025-07-31,158.11000061035156,158.22999572753906,156.75,157.57000732421875,4796000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005239814420750721,-0.003751229077306739,-0.0014885853434439822
ABBV,2025-07-31,197.05999755859375,198.8300018310547,187.6199951171875,189.02000427246094,10347900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001531843483559614,-0.003751229077306739,0.002219385593747125
WMT,2025-07-31,97.44000244140625,98.62999725341797,97.30999755859375,97.9800033569336,15651300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003996383171207762,-0.003751229077306739,0.007747612248514502
CVX,2025-07-31,152,153.92999267578125,151.13999938964844,151.63999938964844,10237100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012503244331016017,-0.003751229077306739,-0.008752015253709278
XOM,2025-07-31,110.36000061035156,112.5,110.36000061035156,111.63999938964844,17233700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0023235221866403366,-0.003751229077306739,0.0014277068906664026
MRK,2025-07-31,80.80000305175781,81.48999786376953,77.8499984741211,78.12000274658203,19813300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04440363612743692,-0.003751229077306739,-0.04065240705013018
COST,2025-07-31,925.3599853515625,945.95001220703125,925,939.6400146484375,2564400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013078031239660337,-0.003751229077306739,0.016829260316967076
MCD,2025-07-31,301.0199890136719,303.4700012207031,300,300.07000732421875,3639600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011659623194687274,-0.003751229077306739,-0.007908394117380535
PM,2025-07-31,161.7899932861328,165.07000732421875,161.07000732421875,164.0500030517578,10607200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011592803256086581,-0.003751229077306739,0.01534403233339332
