component,rebalances,mean_ic,ic_sd,t_stat,pct_positive,label,significant
ir,28,0.05735782057200852,0.13537692864426826,2.241955560640122,0.6785714285714286,Information ratio,TRUE
ann_alpha,28,0.05666025357314552,0.14476035429528067,2.071132540483,0.6428571428571429,Annualised alpha,TRUE
score,28,0.05658164004046264,0.1386912584256074,2.1587654480694884,0.7142857142857143,Blended score (baseline),TRUE
streak,28,0.03475899561064307,0.11253349733586489,1.6344228231648152,0.6428571428571429,Positive-alpha streak,FALSE
hit_rate,28,0.032158576776997294,0.10329231370715028,1.6474332622839116,0.6428571428571429,Hit rate vs SPY,FALSE
alpha_63d,28,0.029413469022564427,0.1618858216399853,0.9614273003162875,0.5357142857142857,"Alpha, trailing 63d",FALSE
