channel,channel_id,video_id,is_live,resolved_at
Bloomberg TV,UCIALMKvObZNtJ6AmdCLP7Lg,QB5BNdBFujE,TRUE,2026-08-22T17:17:26Z
Yahoo Finance,UCEAZeUIeJs0IjQiqTCdVSIg,KQp-e_XQnDE,TRUE,2026-08-22T17:17:26Z
CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,9NyxcX3rhQs,TRUE,2026-08-22T17:17:26Z
Reuters,UChqUTb7kYRX8-EiaN3XFrSQ,NA,FALSE,2026-08-22T17:17:26Z
