symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak
COST,946.109985,1011.700012,1007.77002,922.26001,1056.849976,-0.064831,-0.061185,0.02586,-0.104783,1020.908984,1006.855597,957.256149,32.413041,-0.730458,0.444916,-1.175374,1093.051367,948.766602,-0.018412,0.279297,2407420,0.007566,0.001015,-3.7e-4,-0.001385,0.014172,250,-0.0134,-0.095163,0.22497,-1.551493,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,32.653061,48.979592,30,29.341837,2,-0.05440210940000001,-0.05440210940000001,-0.05440210940000001,0,-0.0274795,0.01991141985143199,-6.924834,-21.90820856419359,0.031746031746031744,0
CRM,209.600006,183.820007,196.050003,238.720001,261.619995,0.140246,0.069115,-0.121984,-0.198838,180.319501,181.099401,221.133301,70.599782,1.29761,-0.302494,1.600104,198.407039,162.231962,1.309411,0.569478,14854770,0.639775,0.001015,-6.08e-4,-0.001623,0.023287,250,0.094085,-0.316853,0.369669,-1.106402,TRUE,TRUE,FALSE,FALSE,Overbought,TRUE,55,30,69.387755,16.326531,70,49.331633,2,0.1840800557600002,0.1840800557600002,0.1840800557600002,1,0.0881705,0.008364366114655675,22.218965999999998,167.33644566094426,0.031746031746031744,2
CVX,185.830002,190.630005,188.770004,151.589996,137.839996,-0.02518,-0.015575,0.225872,0.348157,187.71,191.8344,169.9894,46.411951,-0.708238,-0.417567,-0.29067,197.017758,178.402241,0.399009,0.284315,10195315,-0.279377,0.001015,0.001294,2.79e-4,0.016857,250,0.015747,0.397537,0.267598,0.262544,FALSE,FALSE,TRUE,TRUE,Neutral,FALSE,35,45,55.102041,87.755102,30,52.581633,2,0.010052722318000029,0.010052722318000029,0.010052722318000029,0.5,0.0050705,0.01509885109867635,1.2777660000000002,5.330981252181129,0.031746031746031744,1
DHR,179.869995,175.149994,204.009995,228.460007,189.229996,0.026948,-0.118328,-0.212685,-0.049464,171.6045,181.582599,205.9451,55.88914,-0.55888,-1.903628,1.344748,182.853817,160.355182,0.867378,0.266782,4863605,0.753782,0.001015,-5.2e-5,-0.001067,0.016633,250,-0.018051,-0.205842,0.264037,-1.018143,TRUE,FALSE,FALSE,FALSE,Neutral,TRUE,15,85,18.367347,6.122449,70,30.234694,2,-0.009407884902000063,-0.009407884902000063,-0.009407884902000063,0.5,-0.0046245,0.018987938395202363,-1.1653740000000001,-3.866226027289932,0.031746031746031744,0
GE,324.600006,286.51001,334.140015,288.48999,247.479996,0.132945,-0.028551,0.125169,0.311621,300.786499,296.0092,301.3251,66.511114,2.244974,0.991284,1.25369,327.525263,274.047735,0.945299,0.389017,5367690,1.277836,0.001015,0.001277,2.62e-4,0.017226000000000002,250,-1.29e-4,-0.005031,0.273459,0.24151,TRUE,TRUE,TRUE,FALSE,Neutral,TRUE,80,65,48.979592,69.387755,70,65.321429,2,0.00654313918299998,0.00654313918299998,0.00654313918299998,0.5,0.003272,0.004809740325630896,0.824544,10.799208735246403,0.031746031746031744,0
GOOGL,376.369995,385.690002,303.579987,319.630005,169.029999,-0.024165,0.239772,0.177518,1.226646,390.683,348.9596,300.7932,49.772894,2.136892,3.344513,-1.207621,404.909212,376.456788,-0.00305,0.262047,27258560,1.351131,0.001015,0.003371,0.002356,0.015452,250,-0.013161,0.503767,0.245298,2.419876,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,79.591837,75.510204,30,73.729592,2,-0.04038394065399997,-0.04038394065399997,-0.04038394065399997,0,-0.0203735,0.010200015318615948,-5.134122,-31.70772551935067,0.031746031746031744,0
HD,310.690002,323.880005,366.920013,357.910004,367.959991,-0.040725,-0.153249,-0.131933,-0.155642,311.718002,324.3646,364.09875,44.28838,-1.155092,-1.727547,0.572456,326.080782,297.355223,0.464213,0.28104,5667825,0.788802,0.001015,-5.66e-4,-0.001581,0.01377,250,-0.023061,-0.344446,0.218594,-1.822888,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,8.163265,14.285714,70,22.806122,2,-0.037873349118,-0.037873349118,-0.037873349118,0,-0.0191115,0.00558543646459254,-4.816098,-54.317269386502225,0.031746031746031744,0
HON,236.539993,212.5,243.850006,193.470001,212.554199,0.113129,-0.029977,0.222618,0.112846,221.2715,223.0384,212.444801,67.972033,1.657149,0.486919,1.17023,238.35028,204.192719,0.947002,0.251115,4355605,0.75123,0.001015,5.24e-4,-4.92e-4,0.012835,250,-0.008273,-0.060244,0.203756,-0.607996,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,44.897959,85.714286,70,72.362245,2,0.009942049809000153,0.009942049809000153,0.009942049809000153,0.5,0.005047,0.018837324650809627,1.271844,4.2531857727585765,0.031746031746031744,0
IBM,320.420013,232.199997,245.279999,302.619995,263.899994,0.379931,0.306344,0.05882,0.214172,240.281,240.6258,270.89305,83.849847,5.410522,1.439979,3.970543,294.668021,185.893979,1.236748,0.696052,10681430,1.010898,0.001015,0.001068,5.3e-5,0.022999,250,0.073234,0.010556,0.365094,0.03655,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,87.755102,55.102041,70,68.846939,2,0.20695895640000006,0.20695895640000006,0.20695895640000006,1,0.098917,0.036321246922428205,24.927084,43.23251065617544,0.031746031746031744,2
INTU,353.76001,399.040009,433.350006,647.679993,764.98999,-0.113472,-0.183662,-0.453804,-0.537563,367.258,389.647799,548.891801,46.730115,-5.403444,-4.454609,-0.948835,441.674974,292.841026,0.409308,0.911664,5662530,0.43855,0.001015,-0.002697,-0.003712,0.027322,250,0.06433,-0.791802,0.433724,-2.156737,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,0,0,30,13.5,2,0.12468815430000002,0.12468815430000002,0.12468815430000002,1,0.060520000000000004,0.005388153672641488,15.251040000000001,178.3032323209127,0.031746031746031744,2
ISRG,412.26001,457.779999,497.420013,569.710022,553.289978,-0.099436,-0.171203,-0.276369,-0.254893,435.827,452.5908,494.690151,35.242706,-2.218205,-1.896009,-0.322196,461.162731,410.49127,0.034906,0.37813,2392310,0.938313,0.001015,-9.91e-4,-0.002006,0.018115,250,-0.031877,-0.489802,0.287565,-1.758154,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,2.040816,4.081633,30,11.178571,2,-0.031980589160999995,-0.031980589160999995,-0.031980589160999995,0,-0.015992000000000003,0.022464782438296617,-4.029984000000001,-11.300582611763716,0.031746031746031744,0
JNJ,223.509995,227.190002,246.75,205.330002,155.399994,-0.016198,-0.094184,0.08854,0.438288,227.361999,232.2306,212.12075,40.337967,-0.348706,-0.353797,0.005091,234.877374,219.846623,0.243725,0.196128,7774835,0.045647,0.001015,0.00151,4.95e-4,0.01276,250,-0.0108,0.368904,0.202552,0.61598,FALSE,FALSE,TRUE,TRUE,Neutral,TRUE,35,45,24.489796,59.183673,70,41.683673,2,-0.036709126400000014,-0.036709126400000014,-0.036709126400000014,0,-0.018496,0.010883787576023339,-4.660991999999999,-26.977271969505257,0.031746031746031744,0
