date,tranche,model_ret,q5_ret,spy_ret,univ_ret,model_cum,q5_cum,spy_cum,univ_cum,rel_cum,model_dd,spy_dd,n_held
2024-03-14,1,-0.017067563544910902,-0.016378347680188088,-0.00197677879335467,-0.015138809907854912,0.9829324364550891,0.9836216523198119,0.9980232212066453,0.9848611900921451,0.9848793250187997,0,0,39
2024-03-15,1,-0.005054469802520667,-0.0019749021647411658,-0.00994276243012726,-0.004028384231809648,0.9779642341371088,0.9816790957893592,0.9881001134184373,0.9808937908034566,0.9897420523045358,-0.005054469802520667,-0.009942762430127261,39
2024-03-18,1,-0.007960319354842649,0.005424257589550452,0.0059431552852911,0.0010905477322747602,0.9701793265157633,0.9870039760751977,0.9939725458298968,0.9819635023026196,0.9760624984925838,-0.012974553963565838,-0.004058698525923221,39
2024-03-19,1,0.0016195809431545083,0.008300780787933393,0.00555714366980697,0.0031901471326050883,0.9717506104644307,0.9951968797174165,0.9994961940709174,0.9850961103538132,0.9722404309580411,-0.011375986360756651,0,39
2024-03-20,1,0.018678378259799455,0.013390137308614714,0.00924930347067531,0.01452976186831333,0.9899013359408764,1.0085227025859378,1.0087408376876643,0.9994093222546558,0.9813237443722674,0,0,39
2024-03-21,1,0.0085310848500455,-3.1298125394307874e-4,0.00330470297192242,0.004425196546316256,0.9983462682309614,1.0082070538858523,1.0120744265318702,1.0038319049358533,0.9864356237634105,0,0,39
2024-03-22,1,-0.007135022410203806,-0.009919572584359715,-0.00189580660902499,-0.008706501029618606,0.9912230452339902,0.9982060708347681,1.0101557291452259,0.9950920414219654,0.9812576582352741,-0.007135022410203806,-0.001895806609024997,39
2024-03-25,1,7.050521401319454e-4,0.0029785408165732274,-0.00276280650927662,-0.0015198981608114293,0.9919219091633804,1.0011792683601006,1.0073648643213604,0.99357960285837,0.984669948590689,-0.006435000832892168,-0.004653375371461821,39
2024-03-26,1,-0.004125312382635915,-0.007370631001726968,-0.00184701297993683,-0.003043247857036549,0.9878299214289009,0.9937999454064393,1.0055042483414265,0.990555893861176,0.9824224244286592,-0.010533766826909763,-0.00649179350668716,39
2024-03-27,1,0.0072859775272400285,0.02013138138991466,0.00840381907071874,0.01258023706685692,0.9950272280371671,1.0138065111326928,1.013954324119327,1.003017321833922,0.9813333839287101,-0.0033245380880478903,0,39
2024-03-28,1,-8.402952856477741e-4,-0.0011133533838521004,-1.9109579907738983e-4,0.001923770318559144,0.9941911113483564,1.012677786222952,1.0137605617075314,1.0049468967866666,0.9806961810329126,-0.0041620397800132825,-1.9109579907738983e-4,39
2024-04-01,1,-0.004483748008695665,-0.0051661410418077924,-0.00173979422820058,-0.005665172861643122,0.9897334089325852,1.0074461499494185,1.0119968269334951,0.9992536988995984,0.9780005061197954,-0.008627126251133155,-0.0019305575599097846,39
2024-04-02,1,-0.021356168198864878,-0.02209092975767768,-0.00635810184581797,-0.017541714053726145,0.968596495779385,0.9851907278162431,1.0055624480402074,0.9817250762463734,0.9632385314976039,-0.02979905209070599,-0.008276384724142605,39
2024-04-03,1,0.008093497436189034,3.923217527777023e-4,0.00109850100139108,0.004542916656346015,0.9764358290346772,0.9855772395694002,1.006667059396341,0.9861849714472055,0.9699689881778865,-0.021946733206213986,-0.007186975339658841,39
2024-04-04,1,-0.020553114322951926,-0.006617767891113235,-0.01220609181208065,-0.011368788676632111,0.9563670318115011,0.9790549181591658,0.9943795888451519,0.9749732429107517,0.9617725892002694,-0.042048773812563334,-0.019305342270892534,39
2024-04-05,1,0.018493695747002548,0.00463480360352686,0.0104468888749043,0.011232218156752934,0.9740537927202869,0.9835926454219006,1.0047677619092903,0.9859243550721223,0.9694317728400842,-0.02433271529498482,-0.00906013416138407,39
2024-04-08,1,0.0022914292589917284,0.0055665963111279915,5.593388334788063e-4,0.0033743090048069715,0.9762857680807581,0.9890679086135588,1.0053297675371538,0.9892511685015007,0.9711099776468896,-0.02209704273177071,-0.008505863012778336,39
2024-04-09,1,-0.010043572875477969,0.013455172899623502,0.00115676406343179,0.004721465134541129,0.966480370821747,1.0023759883334233,1.0064926968841388,0.9939218834028846,0.960245785998984,-0.03191868234823958,-0.007358938226008305,39
2024-04-10,1,-0.010917826587199642,-0.0212562569507736,-0.01001311741063892,-0.01839924627521711,0.9559285057331828,0.9810692267641223,0.9964145673372874,0.9756344698918272,0.9593682560138646,-0.042488026296669146,-0.017298369724172535,39
2024-04-11,1,0.02129537440362017,0.004064094635811255,0.00754688578476336,0.009045686028841534,0.9762853611658641,0.9850563849459739,1.0039343942712564,0.9844597529853839,0.9724593227772992,-0.022097450320707424,-0.009882032759980008,39
2024-04-12,1,-0.03017257446190602,-0.02038006660680336,-0.01380307702024008,-0.024521181257063984,0.9468283184100181,0.9649808702093181,0.9900770105038621,0.9603196369421448,0.9563178503944515,-0.05160328781739376,-0.023548707320917628,39
2024-04-15,1,-0.02793306823467956,-0.018814521853099064,-0.0125281272781027,-0.021650474990864043,0.9203804983853442,0.9468252165389422,0.9776731997011463,0.9395282606592933,0.9413989241667714,-0.07809491789233625,-0.03578181339646902,39
2024-04-16,1,-8.144816899749996e-4,-0.008952683221650992,-0.00182379503512986,-0.0018818742616705812,0.9196308653215993,0.9383485903089981,0.9758901241735518,0.9377601866074463,0.942350826739233,-0.07884579270160774,-0.037540349737978485,39
2024-04-17,1,-0.012237588072329442,-0.004242917990697537,-0.00591823921822443,-0.006579446349009593,0.9083768016131937,0.9343672541936303,0.97011457296799,0.9315902437714254,0.9363603299289542,-0.09011849844161868,-0.04323641618611773,39
