symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
U,34345045,33891131,4.6,2026-07-31,NA,0.08,finra,440089000,shares outstanding,Stable,0,FALSE,67.01,69.07,0,40,36.57,1,36.57,No Signal,7.8%
BRCC,3784836,4674010,5.81,2026-07-31,NA,0.03,finra,119820000,shares outstanding,Decreasing,0,FALSE,32.99,81.44,0,80,36.54,1,36.54,No Signal,3.2%
COIN,21790827,25046921,2.72,2026-07-31,NA,0.1,finra,222803000,shares outstanding,Decreasing,0,FALSE,74.74,28.87,0,80,36.46,1,36.46,No Signal,9.8%
MITK,3319216,3416964,4.76,2026-07-31,NA,0.07,finra,45122400,shares outstanding,Stable,0,FALSE,63.92,71.65,0,40,36.31,1,36.31,No Signal,7.4%
ALRM,2597657,2566578,6.31,2026-07-31,NA,0.05,finra,49090200,shares outstanding,Stable,0,FALSE,52.58,83.51,0,40,35.85,1,35.85,No Signal,5.3%
HUBS,4502388,5012109,2.63,2026-07-31,NA,0.09,finra,51191000,shares outstanding,Decreasing,0,FALSE,72.16,26.29,0,80,35.3,1,35.3,No Signal,8.8%
YEXT,5191296,5284561,5.2,2026-07-31,NA,0.05,finra,100248000,shares outstanding,Stable,0,FALSE,51.55,78.35,0,40,34.56,1,34.56,No Signal,5.2%
ZS,7418898,8049396,3.63,2026-07-31,NA,0.05,finra,161710000,shares outstanding,Decreasing,0,FALSE,46.39,53.61,0,80,34.32,1,34.32,No Signal,4.6%
CFR,3986434,3767310,5.58,2026-07-31,NA,0.06,finra,62149000,shares outstanding,Increasing,0,FALSE,60.31,80.41,0,20,34.16,1,34.16,No Signal,6.4%
NTRA,4365205,4964646,4.69,2026-07-31,NA,0.03,finra,144144000,shares outstanding,Decreasing,0,FALSE,32.47,70.1,0,80,34.14,1,34.14,No Signal,3%
FIZZ,4331658,3750363,10.01,2026-07-31,NA,0.05,finra,93612000,shares outstanding,Increasing,0,FALSE,46.91,94.85,0,20,33.7,1,33.7,No Signal,4.6%
ON,30922210,31300388,3.59,2026-07-31,NA,0.08,finra,389312000,shares outstanding,Stable,0,FALSE,68.04,51.55,0,40,33.32,1,33.32,No Signal,7.9%
WAL,6302163,5570519,5.88,2026-07-31,NA,0.06,finra,109101000,shares outstanding,Increasing,0,FALSE,55.67,81.96,0,20,33.31,1,33.31,No Signal,5.8%
DKNG,38098326,39353188,3.6,2026-07-31,NA,0.08,finra,496454000,shares outstanding,Stable,0,FALSE,66.49,52.58,0,40,33.14,1,33.14,No Signal,7.7%
ROKU,10637370,8245711,4.34,2026-07-31,NA,0.08,finra,132051000,shares outstanding,Increasing,0,FALSE,68.56,64.95,0,20,33.13,1,33.13,No Signal,8.1%
INCY,10246477,10512123,4.8,2026-07-31,NA,0.05,finra,202698000,shares outstanding,Stable,0,FALSE,49.48,72.68,0,40,32.91,1,32.91,No Signal,5.1%
ARWR,9656078,9635297,3.85,2026-07-31,NA,0.07,finra,140857000,shares outstanding,Stable,0,FALSE,62.89,55.67,0,40,32.86,1,32.86,No Signal,6.9%
AXON,3563990,3714055,5.1,2026-07-31,NA,0.04,finra,81237000,shares outstanding,Stable,0,FALSE,44.85,75.77,0,40,32.37,1,32.37,No Signal,4.4%
DOCN,8650899,11561544,2.35,2026-07-31,NA,0.07,finra,117580000,shares outstanding,Decreasing,0,FALSE,64.43,18.04,0,80,31.72,1,31.72,No Signal,7.4%
INTU,12142132,15822306,3.05,2026-07-31,NA,0.04,finra,273537000,shares outstanding,Decreasing,0,FALSE,45.36,41.75,0,80,31.69,1,31.69,No Signal,4.4%
NPWR,2676837,2937200,3.98,2026-07-31,NA,0.03,finra,88481000,shares outstanding,Decreasing,0,FALSE,31.44,58.76,0,80,31.61,1,31.61,No Signal,3%
VERX,6768931,7048561,3,2026-07-31,NA,0.08,finra,80062000,shares outstanding,Stable,0,FALSE,70.62,39.69,0,40,31.59,1,31.59,No Signal,8.5%
SOFI,190758849,185956377,2.16,2026-07-31,NA,0.15,finra,1291570000,shares outstanding,Stable,0,FALSE,89.18,14.43,0,40,31.18,1,31.18,No Signal,14.8%
NBIX,4390083,5334688,3.01,2026-07-31,NA,0.04,finra,101649000,shares outstanding,Decreasing,0,FALSE,44.33,40.21,0,80,31.12,1,31.12,No Signal,4.3%
ACN,32939144,33556522,3.88,2026-07-31,NA,0.05,finra,611942000,shares outstanding,Stable,0,FALSE,53.61,57.22,0,40,30.85,1,30.85,No Signal,5.4%
WTS,740879,838518,3.94,2026-07-31,NA,0.03,finra,27466800,shares outstanding,Decreasing,0,FALSE,27.84,57.73,0,80,30.51,1,30.51,No Signal,2.7%
MCHP,36265405,35231436,3.21,2026-07-31,NA,0.07,finra,543009000,shares outstanding,Stable,0,FALSE,62.37,44.33,0,40,30.46,1,30.46,No Signal,6.7%
ZION,5473018,7005706,3.03,2026-07-31,NA,0.04,finra,145953000,shares outstanding,Decreasing,0,FALSE,40.21,40.72,0,80,30.2,1,30.2,No Signal,3.7%
EXP,1921344,1959858,3.27,2026-07-31,NA,0.06,finra,30675300,shares outstanding,Stable,0,FALSE,58.76,46.91,0,40,30.07,1,30.07,No Signal,6.3%
HUBB,2722611,2739024,3.86,2026-07-31,NA,0.05,finra,52842000,shares outstanding,Stable,0,FALSE,50.52,56.19,0,40,29.87,1,29.87,No Signal,5.2%
DDOG,11729899,12494014,3.04,2026-07-31,NA,0.04,finra,334905000,shares outstanding,Decreasing,0,FALSE,37.63,41.24,0,80,29.65,1,29.65,No Signal,3.5%
NDSN,1678170,1726425,5.39,2026-07-31,NA,0.03,finra,55718000,shares outstanding,Stable,0,FALSE,30.41,79.9,0,40,29.58,1,29.58,No Signal,3%
UTZ,7440974,8932422,1,2026-07-31,NA,0.08,finra,88613000,shares outstanding,Decreasing,0,FALSE,70.1,0,0,80,29.53,1,29.53,No Signal,8.4%
PRIM,4490057,2988512,3.11,2026-07-31,NA,0.08,finra,54255000,shares outstanding,Increasing,0,FALSE,69.07,43.3,0,20,28.93,1,28.93,No Signal,8.3%
GGG,6870460,6551718,4.03,2026-07-31,NA,0.04,finra,161954000,shares outstanding,Stable,0,FALSE,42.78,59.79,0,40,28.65,1,28.65,No Signal,4.2%
IONQ,50158156,47045003,2.46,2026-07-31,NA,0.12,finra,405136000,shares outstanding,Increasing,0,FALSE,85.05,21.13,0,20,28.49,1,28.49,No Signal,12.4%
PEP,29388790,32637580,3.59,2026-07-31,NA,0.02,finra,1366000000,shares outstanding,Decreasing,0,FALSE,23.2,51.55,0,80,28.11,1,28.11,No Signal,2.2%
CRWD,25560208,27450228,3.28,2026-07-31,NA,0.03,finra,1018259000,shares outstanding,Decreasing,0,FALSE,25.77,47.42,0,80,27.93,1,27.93,No Signal,2.5%
ROAD,4564569,2652051,2.82,2026-07-31,NA,0.09,finra,48206400,shares outstanding,Increasing,0,FALSE,73.71,32.47,0,20,27.92,1,27.92,No Signal,9.5%
AMGN,13280607,12845008,5.16,2026-07-31,NA,0.02,finra,541000000,shares outstanding,Stable,0,FALSE,25.26,77.84,0,40,27.88,1,27.88,No Signal,2.5%
NEE,63143539,51979231,6.2,2026-07-31,NA,0.03,finra,2085605000,shares outstanding,Increasing,0,FALSE,31.96,82.99,0,20,27.59,1,27.59,No Signal,3%
WBS,11555574,11284413,2.67,2026-07-31,NA,0.07,finra,162033000,shares outstanding,Stable,0,FALSE,63.4,27.32,0,40,27.31,1,27.31,No Signal,7.1%
SMPL,7383061,6912240,2.84,2026-07-31,NA,0.08,finra,88441000,shares outstanding,Increasing,0,FALSE,69.59,34.54,0,20,27.3,1,27.3,No Signal,8.3%
