symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
BLK,2176024,2095185,2.78,2026-07-31,NA,0.01,finra,154869000,shares outstanding,Stable,0,FALSE,13.4,30.41,0,40,15.43,1,15.43,No Signal,1.4%
WMT,72040994,74400164,3.22,2026-07-31,NA,0.01,finra,7958079000,shares outstanding,Stable,0,FALSE,0.52,44.85,0,40,15.1,1,15.1,No Signal,0.9%
MS,13347497,17224493,2.22,2026-07-31,NA,0.01,finra,1572000000,shares outstanding,Decreasing,0,FALSE,0,15.46,0,80,15.09,1,15.09,No Signal,0.8%
ANET,12815409,19887856,1.94,2026-07-31,NA,0.01,finra,1261225000,shares outstanding,Decreasing,0,FALSE,2.06,10.82,0,80,14.68,1,14.68,No Signal,1%
RTX,18052174,17070096,3.1,2026-07-31,NA,0.01,finra,1347758000,shares outstanding,Increasing,0,FALSE,11.86,42.78,0,20,14.52,1,14.52,No Signal,1.3%
AMZN,98434174,106566350,1.93,2026-07-31,NA,0.01,finra,10786314000,shares outstanding,Decreasing,0,FALSE,1.03,10.31,0,80,14.32,1,14.32,No Signal,0.9%
PG,27107761,23118701,3.25,2026-07-31,NA,0.01,finra,2328599000,shares outstanding,Increasing,0,FALSE,7.73,45.88,0,20,14.11,1,14.11,No Signal,1.2%
XOM,42347070,42688964,2.94,2026-07-31,NA,0.01,finra,4111912000,shares outstanding,Stable,0,FALSE,3.09,36.6,0,40,14.09,1,14.09,No Signal,1%
FHN,14303175,12792045,2.24,2026-07-31,NA,0.03,finra,473777000,shares outstanding,Increasing,0,FALSE,30.93,16.49,0,20,14.03,1,14.03,No Signal,3%
MA,8962947,9060825,2.87,2026-07-31,NA,0.01,finra,869464000,shares outstanding,Stable,0,FALSE,3.61,35.57,0,40,14.02,1,14.02,No Signal,1%
MCD,12255302,11465084,2.83,2026-07-31,NA,0.02,finra,707642000,shares outstanding,Increasing,0,FALSE,17.01,33.51,0,20,13.95,1,13.95,No Signal,1.7%
IBKR,9250070,9176448,1.97,2026-07-31,NA,0.02,finra,453078000,shares outstanding,Stable,0,FALSE,22.16,11.34,0,40,13.81,1,13.81,No Signal,2%
CVX,20250198,20366208,2.75,2026-07-31,NA,0.01,finra,1961603000,shares outstanding,Stable,0,FALSE,4.12,29.9,0,40,13.01,1,13.01,No Signal,1%
ISRG,6620078,6708471,1.39,2026-07-31,NA,0.02,finra,358278000,shares outstanding,Stable,0,FALSE,19.59,2.58,0,40,11.41,1,11.41,No Signal,1.8%
ORCL,50143917,50068756,1.4,2026-07-31,NA,0.02,finra,2880471000,shares outstanding,Stable,0,FALSE,18.04,3.09,0,40,11.13,1,11.13,No Signal,1.7%
TSLA,68501639,70646375,1.55,2026-07-31,NA,0.02,finra,3949547000,shares outstanding,Stable,0,FALSE,17.53,3.61,0,40,11.1,1,11.1,No Signal,1.7%
AAPL,141606163,146547784,2.42,2026-07-31,NA,0.01,finra,14594180000,shares outstanding,Stable,0,FALSE,1.55,20.1,0,40,10.41,1,10.41,No Signal,1%
TXN,16771217,15763842,1.86,2026-07-31,NA,0.02,finra,913248000,shares outstanding,Increasing,0,FALSE,18.56,8.25,0,20,9.29,1,9.29,No Signal,1.8%
DHR,12074192,10096457,1.38,2026-07-31,NA,0.02,finra,702986000,shares outstanding,Increasing,0,FALSE,15.98,2.06,0,20,7.41,1,7.41,No Signal,1.7%
