symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
RTX,2026-07-19,RTX Corporation,INDUSTRIALS,AEROSPACE & DEFENSE,260596695000,36.51,27.93,3.949,5.3,5.3,0.116,0.0405,0.0803,0.132,90372997000,67.24,15263000000,19.04,0.325,0.087,0.298,215.14,4,11,8,0,0,1346683000,0.014,2.663,3.252,49.22,213.61,141.31
SPGI,2026-07-19,S&P Global Inc,FINANCIAL SERVICES,FINANCIAL DATA & STOCK EXCHANGES,133448638000,28.5,24.33,4.343,15.82,15.82,0.139,0.0692,0.304,0.443,15730000000,52.03,7873000000,18.11,0.325,0.104,1.079,517.56,5,18,1,0,0,296000000,0.0084,1.901,9.37,105.31,543.27,359.36
TMO,2026-07-19,Thermo Fisher Scientific Inc,HEALTHCARE,DIAGNOSTICS & RESEARCH,197880988000,29.85,21.88,3.887,17.84,17.84,0.135,0.05,0.151,0.179,45197001000,120.36,11296000000,20.66,0.113,0.062,0.868,591.27,5,18,6,0,0,371621000,0.0032,1.792,5.35,139.75,642.71,401.89
TSLA,2026-07-19,Tesla Inc,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1430329885000,349.39,172.41,17.46,1.09,1.09,0.049,0.0223,0.0395,0.042,97878999000,30.31,11094000000,119.32,0.083,0.158,1.802,425.61,5,18,18,4,2,3755724000,NA,4.901,14.71,21.9,498.83,297.82
TXN,2026-07-19,Texas Instruments Incorporated,TECHNOLOGY,SEMICONDUCTORS,258484552000,48.55,38.17,15.8,5.85,5.85,0.324,0.122,0.291,0.378,18438001000,20.29,8665000000,31.06,0.313,0.186,1.31,303.31,2,15,17,2,0,910093000,0.0191,1.39,14.86,18.44,334.03,150.97
UNH,2026-07-19,UnitedHealth Group Incorporated,HEALTHCARE,HEALTHCARE PLANS,386951250000,31.85,23.2,3.928,13.38,13.38,0.122,0.0378,0.0268,0.0805,449713013000,495.82,21464001000,18.88,0.007,0.02,0.633,437.81,6,17,4,1,0,908144000,0,1.467,0.959,107.8,461.62,228.48
UPS,2026-07-19,United Parcel Service Inc,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,99603735000,18.99,16.37,6.32,6.2,6.2,0.334,0.0719,0.0594,0.0633,88317002000,104.03,11834000000,10.52,-0.272,-0.016,1.03,114.65,0,13,11,1,2,746582000,0.056,1.849,1.387,19.11,118.73,78.17
V,2026-07-19,Visa Inc. Class A,FINANCIAL SERVICES,CREDIT SERVICES,681889235000,31.84,24.39,19.77,11.26,11.26,0.604,0.192,0.517,0.673,43027001000,22.45,30143001000,24.85,0.355,0.171,0.754,401.47,8,29,3,0,0,1659710000,0.0071,1.605,16.38,18.64,365.14,293.28
WMT,2026-07-19,Walmart Inc.,CONSUMER DEFENSIVE,DISCOUNT STORES,909130924000,40.51,39.37,9.7,2.82,2.82,0.241,0.0684,0.0314,0.0422,725305000000,90.98,44837999000,20.32,0.194,0.073,0.603,138.59,9,28,5,1,0,7958079000,0.0083,4.374,1.349,11.85,135.16,94.31
XOM,2026-07-19,Exxon Mobil Corp,ENERGY,OIL & GAS INTEGRATED,610799452000,24.81,13.26,2.378,5.94,5.94,0.0987,0.0422,0.0776,0.0636,326008013000,76.48,56007000000,10,-0.434,0.026,0.162,167.38,3,8,12,1,0,4144947000,0.0277,1.24,1.976,61.37,175.22,102.27
