rebalance_date,rank_ic,n_stocks
2024-02-16,0.03583061220045755,194
2024-03-19,0.18908463363813544,194
2024-04-18,0.05723318300157084,194
2024-05-17,0.04530832366032839,194
2024-06-18,-0.1310796696096565,194
2024-07-19,0.038013270992788346,194
2024-08-19,0.0034892970783928466,194
2024-09-18,-0.008971428994073076,194
2024-10-17,0.08208404811571626,194
2024-11-15,0.08961746658047974,194
2024-12-17,-0.18824528121250914,194
2025-01-21,-0.09512648907358512,194
2025-02-20,0.06962818754943703,194
2025-03-21,0.21742792738406655,194
2025-04-22,-0.10664219939220675,194
2025-05-21,0.05550990085993406,194
2025-06-23,0.03292808399296349,194
2025-07-23,0.13428879598175214,194
2025-08-21,0.12268909151348616,194
2025-09-22,-0.01823622031714924,194
2025-10-21,0.14055749154748298,194
2025-11-19,0.16605964183349017,194
2025-12-19,0.21627496275287808,194
2026-01-22,0.3680714691046209,194
2026-02-23,0.13844838991999933,194
2026-03-24,0.24982259719371228,194
2026-04-23,0.24368067728281698,194
2026-05-22,-0.2668256548408831,194
