symbol,shares_outstanding,shares_float,market_cap_poly,primary_exchange,locale,cache_date
MDB,NA,NA,NA,NA,NA,2026-08-15
SOUN,NA,NA,NA,NA,NA,2026-08-15
RGTI,NA,NA,NA,NA,NA,2026-08-15
ETSY,NA,NA,NA,NA,NA,2026-08-15
TSLA,NA,NA,NA,NA,NA,2026-08-15
INTA,NA,NA,NA,NA,NA,2026-08-15
CRNX,NA,NA,NA,NA,NA,2026-08-15
ARWR,NA,NA,NA,NA,NA,2026-08-15
ANAB,NA,NA,NA,NA,NA,2026-08-15
IONS,NA,NA,NA,NA,NA,2026-08-15
RARE,NA,NA,NA,NA,NA,2026-08-15
NTRA,NA,NA,NA,NA,NA,2026-08-15
FROG,NA,NA,NA,NA,NA,2026-08-15
ZS,NA,NA,NA,NA,NA,2026-08-15
ERAS,NA,NA,NA,NA,NA,2026-08-15
TEAM,NA,NA,NA,NA,NA,2026-08-15
CRWD,NA,NA,NA,NA,NA,2026-08-15
TDUP,NA,NA,NA,NA,NA,2026-08-15
NET,NA,NA,NA,NA,NA,2026-08-15
RBLX,NA,NA,NA,NA,NA,2026-08-15
ASAN,NA,NA,NA,NA,NA,2026-08-15
PTGX,NA,NA,NA,NA,NA,2026-08-15
APPN,NA,NA,NA,NA,NA,2026-08-15
