symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak,squeeze_score,squeeze_tier,short_percent_float,short_ratio,short_trend,fundamentals_improving,short_float_pct,improvement_count,put_call_ratio,put_call_oi,options_volume,avg_iv,options_score,options_sentiment,above_vwap,squeeze_poly,debt_equity_poly,revenue_poly,gross_margin,fcf,shares_float,market_cap_poly,vwap,vol_ratio,open_gap_pct,debt_equity,fcf_sec,debt_equity_sec,gross_margin_sec,revenue_sec,total_debt_sec,cash_sec,rev_cagr_sec,equity_sec,total_debt,cash,rev_cagr,p_ann_alpha,p_ir,p_hit_rate,p_streak,p_alpha_63d,alpha_score_raw,alpha_score,q_pe,q_pb,q_roe,q_de,q_margin,q_analyst,quality_gate,tech_filter,options_signal,options_live,final_score,master_score,rating,signal,golden_cross_flag,squeeze_candidate,regime,confidence_band,master_percentile,expected_return_1d,primary_driver,signal_matches,close,changesPercentage,yearHigh,yearLow,priceToBook,enterpriseToEbitda,grossMargin,operatingMargin,profitMargins,returnOnEquity,revenueGrowth,debtToEquity,debt_to_equity,currentRatio,current_ratio,marketCap,mktcap_fmt,pe_fmt,ret_1m_fmt,ret_3m_fmt,ret_6m_fmt,ret_1y_fmt,value_score,quality_score,growth_score,safety_score,short_float,tier
COST,NA,1094.76,840.35,2026-09-15,DISCOUNT STORES,407517102000,46.18,40.32,11.97,19.9,19.9,0.291,0.0867,0.0301,0.0367,293586993000,661.29,13790000000,26.92,0.455,0.0658,0.855,1072.2,4,19,14,1,1,443479000,0.0059,4.435,1.326,37.28,Costco Wholesale Corp,CONSUMER DEFENSIVE,25,20,80,40,39,65.4,NA,46.79,904.7,971.4,942.24,983.86,943.6,-0.0687,-0.0398,-0.0805,-0.0412,918.8045,935.7494,960.2115,41.6803,-1.4071,-1.2838,-0.1234,960.7464,876.8626,0.3319,0.1498,2094390.4762,0.439,8e-4,7e-4,-1e-4,0.0133,749,0.0141,0.0943,0.2108,-0.1119,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,45,43.0052,17.0984,30,29.8212,766,-0.0713,-0.045,-0.0433,0.5159,-1e-4,0.0127,-0.0243,-0.1208,1,4,19.15,No Signal,0.02,3.67,Stable,FALSE,1.7%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,7070333333.3333,NA,NA,NA,NA,NA,0.1692,7070333333.3333,0.1692,NA,275235000000,5670000000,18946000000,0.0658,33509000000,5670000000,18946000000,0.0658,46.6,43.5,69.9,96.9,47.7,55.7,55.7,18.7,19.1,77.8,78.4,30.4,65.4,48.9,25.6,50,FALSE,47.5,47.5,Neutral,Neutral,FALSE,FALSE,NEUTRAL,Proven,47.4,-1e-4,Balanced,,904.7,-6.87,1094.76,840.35,11.97,26.92,NA,0.0367,0.0301,0.291,0.0658,0.1692,0.1692,NA,NA,407517102000,$407.5B,46.2,-6.9%,-4%,-8.1%,-4.1%,48.9,48.9,25.6,49.339999999999996,0.02,Tier 5: Underdog Watch
CRM,NA,268.27,146.32,2026-09-16,SOFTWARE - APPLICATION,210399953000,23.41,15.55,5.56,10.92,10.92,0.194,0.057,0.22,0.214,43938001000,49.2,12899000000,14.88,1.189,0.0915,1.202,275.6,6,34,14,0,2,823000000,0.0066,0.867,5.55,46.63,Salesforce.com Inc,TECHNOLOGY,60,40,65,75,56,68.8,NA,60.63,237.58,209.06,150.19,179.31,244.56,0.1364,0.5819,0.325,-0.0285,245.9995,209.7164,201.5698,52.9607,3.7905,5.6741,-1.8837,277.1863,214.8127,0.365,0.8785,16615209.5238,0.9868,8e-4,5e-4,-3e-4,0.0226,749,0.0121,-0.0784,0.3581,-0.2268,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,93.2642,68.3938,30,82.408,766,-0.3715,0.2118,0.5391,0.4603,0.002,0.0355,0.5021,0.8899,1,1,15.58,No Signal,0.04,2.47,Increasing,FALSE,3.9%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.7768,12111333333.3333,NA,NA,NA,NA,NA,1.0237,12111333333.3333,1.0237,0.7768,41525000000,39288000000,8310000000,0.0915,38378000000,39288000000,8310000000,0.0915,74.6,67.9,22.3,47.2,91.7,62.3,62.3,60.4,48.6,63.4,25.2,75.3,68.8,57.4,77.3,50,FALSE,65.2,65.2,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,73.7,0.002,Alpha Leader,GX RSI MA200,237.58,13.639999999999999,268.27,146.32,5.56,14.88,0.7768,0.214,0.22,0.194,0.0915,1.0237,1.0237,NA,NA,210399953000,$210.4B,23.4,+13.6%,+58.2%,+32.5%,-2.9%,57.4,57.4,77.3,54.44,0.04,Tier 2: Golden Cross
CRNX,NA,85.01,32.3,2026-09-11,BIOTECHNOLOGY,9012787000,NA,NA,7.56,-5.05,-5.05,-0.424,-0.263,0,-5.27,42156000,0.423,-544849984,-13.4,0,0,0.088,85,0,1,13,0,0,106095000,NA,NA,186.31,11.27,Crinetics Pharmaceuticals Inc,HEALTHCARE,50,40,15,20,14,51.8,NA,33.18,84.95,84.78,83.86,83.86,83.86,0.002,0.013,0.013,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628122.875,NA,-0.0012,0.0016,0.0017,0.0066,8,-0.0044,NA,0.1051,4.0869,NA,NA,NA,NA,Neutral,NA,15,50,53.3679,28.4974,NA,NA,15,0.8111,0.8111,0.8111,0.4667,0.05,0.1667,12.5892,4.7572,0.2381,0,28.5,No Signal,NA,NA,Unknown,FALSE,N/A,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,29,0,97.9,75.5,56.1,50,33.3,11.3,50,17,51.8,33.4,50,50,FALSE,51.2,51.2,Neutral,Neutral,FALSE,FALSE,NEUTRAL,Emerging,54.1,0.05,Balanced,,84.95,0.2,85.01,32.3,7.56,-13.4,NA,-5.27,0,-0.424,0,NA,NA,NA,NA,9012787000,$9B,N/A,+0.2%,+1.3%,+1.3%,+1.3%,33.4,33.4,50,40.04,NA,Tier 5: Underdog Watch
CROX,NA,141.28,73.2,2026-09-22,FOOTWEAR & ACCESSORIES,5930327000,10.98,8.06,4.236,11.27,11.27,0.423,0.12,0.146,0.242,4054866000,79.38,926537000,7.99,-0.042,0.0098,1.514,138.25,2,5,7,1,0,47945100,NA,1.393,1.821,28.77,Crocs Inc,CONSUMER CYCLICAL,90,60,95,60,15,63.3,NA,78.33,124.62,125.84,118.88,79.54,78.15,-0.0097,0.0483,0.5668,0.5946,117.7055,126.5762,105.1378,56.6685,-1.0681,-2.4711,1.4029,127.6462,107.7649,0.8478,0.3997,1128833.3333,1.1638,8e-4,0.001,2e-4,0.0299,749,0.0147,0.018,0.4744,0.1105,TRUE,FALSE,TRUE,TRUE,Neutral,TRUE,35,85,58.5492,84.9741,70,63.0596,766,-0.2406,-0.0915,-0.0256,0.4841,0.0024,0.0248,0.6035,1.5328,1,1,38.03,No Signal,0.1,4.79,Stable,FALSE,9.8%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.5833,799052666.6667,NA,NA,NA,NA,NA,0.9484,799052666.6667,0.9484,0.5833,4040647000,1313208000,170276000,0.0098,1384674000,1313208000,170276000,0.0098,80.8,84.5,42,47.2,51.3,66.2,66.2,95.7,61.7,87.6,28.8,59.8,63.3,70.6,73.6,50,FALSE,68.6,68.6,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,79.9,0.0024,Alpha Leader,GX MACD RSI MA200,124.62,-0.97,141.28,73.2,4.236,7.99,0.5833,0.242,0.146,0.423,0.0098,0.9484,0.9484,NA,NA,5930327000,$5.9B,11,-1%,+4.8%,+56.7%,+59.5%,70.6,70.6,73.6,62.35999999999999,0.1,Tier 2: Golden Cross
CRS,NA,625.73,227.48,2026-09-22,METAL FABRICATION,19967146000,38.26,23.36,9.08,10.53,10.53,0.258,0.119,0.17,0.241,3124200000,62.48,826100000,24.24,0.464,0.0621,1.261,625.88,1,7,1,0,0,49558600,0.002,1.591,6.57,44.91,Carpenter Technology Corporation,INDUSTRIALS,25,40,80,75,9,75,NA,57,395.03,477.1,599.24,376.92,238.99,-0.172,-0.3408,0.048,0.6529,447.9385,508.3542,438.2506,21.2798,-6.8226,-5.9469,-0.8756,510.544,385.333,0.0774,0.2899,851585.7143,1.4824,8e-4,0.0028,0.0019,0.0257,749,-0.0123,0.3854,0.4086,1.1913,FALSE,FALSE,FALSE,TRUE,Oversold,FALSE,15,20,8.2902,34.715,30,19.1801,766,2.8276,-0.2898,-0.3655,0.4921,-0.0013,0.0249,-0.319,-0.8057,1,0,17.17,No Signal,0.04,2.91,Increasing,FALSE,3.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.2671,132266666.6667,NA,NA,NA,NA,NA,0.3101,132266666.6667,0.3101,0.2671,2877100000,690700000,393300000,0.0621,2227600000,690700000,393300000,0.0621,26.4,22.3,46.1,0,7.8,23.9,23.9,29.5,26.2,74.7,64,65.5,75,55.5,15.2,50,FALSE,26.6,26.6,Very Weak,Very Weak,TRUE,FALSE,NEUTRAL,Proven,14.9,-0.0013,Balanced,GX,395.03,-17.2,625.73,227.48,9.08,24.24,0.2671,0.241,0.17,0.258,0.0621,0.3101,0.3101,NA,NA,19967146000,$20B,38.3,-17.2%,-34.1%,+4.8%,+65.3%,55.5,55.5,15.2,53.3,0.04,Tier 2: Golden Cross
CRWD,NA,250.32,85.68,2026-09-18,SOFTWARE - INFRASTRUCTURE,251580793000,4914,192.31,48.44,0.05,0.05,0.0146,-0.0078,0.0083,-0.0226,5396145000,5.33,106861000,573.8,5.33,5.33,1.255,234.35,10,30,12,0,1,1023935000,NA,7.72,45.02,4.983,Crowdstrike Holdings Inc,TECHNOLOGY,25,20,40,40,53,72.6,NA,35.51,262.49,190.68,169.6625,92.395,121.025,0.3766,0.5471,1.841,1.1689,222.316,209.8192,148.2276,68.6876,5.465,3.7497,1.7153,262.2809,182.3511,1.0026,1.0301,12978414.2857,1.597,8e-4,0.003,0.0022,0.0277,749,0.0599,0.4183,0.4401,1.2355,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,91.1917,98.9637,70,88.9003,766,2.9359,0.1752,0.4504,0.5317,0.0064,0.0388,1.6025,2.6004,1,2,12.64,No Signal,0.03,2.42,Increasing,FALSE,2.7%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,1142264666.6667,NA,NA,NA,NA,NA,0.1463,1142264666.6667,0.1463,NA,NA,746216000,5013847000,NA,5101724000,746216000,5013847000,NA,97.4,96.9,80.8,77.7,89.1,90.7,90.7,50,0,27.3,82,25.3,72.6,41.2,98.1,50,FALSE,85.1,85.1,Very Strong,Very Strong,TRUE,FALSE,NEUTRAL,Proven,97.9,0.0064,Alpha Leader,GX MACD RSI MA200,262.49,37.66,250.32,85.68,48.44,573.8,NA,-0.0226,0.0083,0.0146,5.33,0.1463,0.1463,NA,NA,251580793000,$251.6B,4914,+37.7%,+54.7%,+184.1%,+116.9%,41.2,41.2,98.1,44.72,0.03,Tier 2: Golden Cross
CVX,NA,217.78,142.51,2026-09-15,OIL & GAS INTEGRATED,416193380000,20.44,15.97,2.211,10.38,10.38,0.122,0.0586,0.0983,0.219,209383997000,106.25,50661999000,8.02,3.219,-0.0301,0.491,221.21,6,14,4,1,0,1961603000,0.0326,0.945,2.149,96.8,Chevron Corp,ENERGY,60,75,65,60,25,75,NA,66,205.51,203.09,172.24,211.15,157.42,0.0119,0.1932,-0.0267,0.3055,208.6395,199.7784,184.4361,48.9716,1.2921,1.989,-0.6969,218.8754,198.4036,0.3471,0.2459,9776595.2381,0.3326,8e-4,4e-4,-5e-4,0.0157,749,0.0162,0.0256,0.249,-0.4603,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,78.2383,24.8705,30,63.1956,766,-0.2865,0.0592,0.2236,0.5952,0.0014,0.0144,0.3497,1.5335,1,1,10.97,No Signal,0.01,2.61,Stable,FALSE,1.1%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,17138666666.6667,NA,NA,NA,NA,NA,0.2095,17138666666.6667,0.2095,NA,189031000000,39781000000,NA,-0.0301,189883000000,39781000000,NA,-0.0301,68.9,85,99.5,47.2,81.9,78.8,78.8,71.2,86.9,45.4,72.1,51,75,64.3,51.9,50,FALSE,70.2,70.2,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,82,0.0014,High IR,GX MA200 α>SPY,205.51,1.1900000000000002,217.78,142.51,2.211,8.02,NA,0.219,0.0983,0.122,-0.0301,0.2095,0.2095,NA,NA,416193380000,$416.2B,20.4,+1.2%,+19.3%,-2.7%,+30.6%,64.3,64.3,51.9,58.58,0.01,Tier 2: Golden Cross
CXM,NA,8.28,4.715,2026-09-22,SOFTWARE - APPLICATION,1251404000,53.9,20.7,2.382,0.1,0.1,0.0436,0.0273,0.0265,0.0446,872882000,3.606,51106000,12.6,-0.395,0.0819,0.646,8.44,1,2,5,0,1,131087000,NA,0.824,0.946,2.191,Sprinklr Inc,TECHNOLOGY,25,75,40,40,9,55.6,NA,44.81,5.43,7.43,4.91,5.88,7.87,-0.2692,0.1059,-0.0765,-0.31,6.327,6.4022,6.1043,36.0266,-6.0903,-4.3232,-1.7672,8.4198,4.2342,0.2857,0.7228,4349100,0.9637,8e-4,-8e-4,-0.0017,0.027,749,0.0146,-0.4126,0.4285,-0.9808,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,67.3575,18.6529,30,33.6878,766,-0.7907,-0.2118,0.0974,0.5238,-2e-4,0.0309,-0.0589,-0.1201,1,2,22.64,No Signal,0.09,2.28,Increasing,FALSE,9%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.674,97506333.3333,NA,NA,NA,NA,NA,NA,97506333.3333,NA,0.674,857200000,NA,231415000,0.0819,519477000,NA,231415000,0.0819,43,44,75.1,77.7,68.4,57,57,15.1,83.6,31.4,50,28.9,55.6,39.4,27.4,50,FALSE,47.3,47.3,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,46.9,-2e-4,Consistent Beat,GX,5.43,-26.919999999999998,8.28,4.715,2.382,12.6,0.674,0.0446,0.0265,0.0436,0.0819,NA,NA,NA,NA,1251404000,$1.3B,53.9,-26.9%,+10.6%,-7.6%,-31%,39.4,39.4,27.4,43.64,0.09,Tier 2: Golden Cross
DDOG,NA,292.72,98.01,2026-09-18,SOFTWARE - APPLICATION,84741702000,453.85,77.52,18.98,0.52,0.52,0.047,0.0018,0.0448,0.0067,3966725000,11.26,82897000,281.02,14.98,0.269,1.488,285.28,10,31,3,1,1,334905000,NA,1.17,19.96,12.17,Datadog Inc,TECHNOLOGY,25,20,40,40,46,76.1,NA,35.86,251.49,225.77,220.94,114.48,137.49,0.1139,0.1383,1.1968,0.8292,228.0185,243.2028,180.1489,59.8576,0.0071,-1.6672,1.6743,250.4621,205.5749,1.0229,0.5919,3635771.4286,1.3002,8e-4,0.002,0.0012,0.0321,749,0.0335,0.2288,0.5099,0.5725,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,69.9482,95.3368,70,84.8018,766,0.5646,-0.0281,0.097,0.5397,0.0053,0.0476,1.3328,1.7652,1,2,17.64,No Signal,0.03,2.71,Stable,FALSE,3.1%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.7996,822936333.3333,NA,NA,NA,NA,NA,NA,822936333.3333,NA,0.7996,3427158000,NA,434957000,0.269,4367160000,NA,434957000,0.269,93.8,89.1,86,77.7,67.9,85.6,85.6,50,9.8,32.5,50,35.6,76.1,40.8,90.7,50,FALSE,80.1,80.1,Very Strong,Very Strong,TRUE,FALSE,NEUTRAL,Proven,94.8,0.0053,Alpha Leader,GX MACD RSI MA200,251.49,11.39,292.72,98.01,18.98,281.02,0.7996,0.0067,0.0448,0.047,0.269,NA,NA,NA,NA,84741702000,$84.7B,453.9,+11.4%,+13.8%,+119.7%,+82.9%,40.8,40.8,90.7,44.48,0.03,Tier 2: Golden Cross
DECK,NA,122.29,77.37,2026-09-22,FOOTWEAR & ACCESSORIES,10925871000,11.41,10.46,4.64,7.03,7.03,0.426,0.203,0.184,0.152,5527289000,38.73,1326979000,6.87,0.011,0.1297,1.15,120.41,5,8,11,2,0,136182000,NA,0.959,1.728,16.83,Deckers Outdoor Corporation,CONSUMER CYCLICAL,90,60,95,75,26,65.4,NA,80.79,78.59,92.08,102.59,94.05,112.03,-0.1465,-0.2339,-0.1644,-0.2985,82.749,91.8834,102.1564,35.6721,-4.5426,-4.6521,0.1095,90.2075,75.2905,0.2212,0.3415,3368642.8571,1.3053,8e-4,3e-4,-5e-4,0.0266,749,-0.0132,-0.1867,0.4231,-0.2896,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,20,11.399,11.399,70,19.4495,766,-0.4656,-0.1873,-0.285,0.4444,-0.0034,0.0228,-0.8565,-2.3658,1,0,24.3,No Signal,0.07,2.95,Increasing,FALSE,6.9%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.577,999834333.3333,NA,NA,NA,NA,NA,NA,999834333.3333,NA,0.577,5472296000,NA,1602589000,0.1297,2301682000,NA,1602589000,0.1297,6.7,1,13,0,11.9,6.6,6.6,93.5,57.9,88.1,50,69.1,65.4,74.5,12.8,50,FALSE,18.3,18.3,Very Weak,Very Weak,FALSE,FALSE,NEUTRAL,Proven,8.8,-0.0034,Quality,MACD,78.59,-14.649999999999999,122.29,77.37,4.64,6.87,0.577,0.152,0.184,0.426,0.1297,NA,NA,NA,NA,10925871000,$10.9B,11.4,-14.6%,-23.4%,-16.4%,-29.8%,74.5,74.5,12.8,64.69999999999999,0.07,No Signal
DHR,NA,241.78,160.6,2026-09-16,DIAGNOSTICS & RESEARCH,147177161000,37.32,21.88,2.717,5.61,5.61,0.0761,0.0395,0.16,0.198,25106999000,35.47,8028000000,21.77,0.597,0.0141,0.808,229.09,5,17,4,0,0,702986000,0.0071,1.217,6.58,74.81,Danaher Corporation,HEALTHCARE,25,75,40,75,26,76,NA,52.1,221.56,215.11,193.21,181.52,189.72,0.03,0.1467,0.2206,0.1678,210.28,204.5986,201.8457,66.3078,1.1853,0.7503,0.435,221.4394,199.1206,1.0054,0.2522,3570085.7143,0.7649,8e-4,2e-4,-7e-4,0.0168,749,0.0337,-0.1155,0.2659,-0.6201,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,65,71.5026,55.9585,70,74.3925,766,-0.4563,0.065,0.2283,0.5079,0.0012,0.0217,0.3146,0.9133,1,2,17.94,No Signal,0.01,2.69,Decreasing,FALSE,1.2%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.5911,5445666666.6667,NA,NA,NA,NA,NA,0.4783,5445666666.6667,0.4783,0.5911,24568000000,25147000000,NA,0.0141,52581000000,25147000000,NA,0.0141,66.8,68.4,63.7,77.7,82.4,70,70,33.1,78.1,37.1,50.5,63.4,76,51.4,72.9,50,FALSE,67.9,67.9,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,78.9,0.0012,Strong Trend,GX MACD RSI MA200,221.56,3,241.78,160.6,2.717,21.77,0.5911,0.198,0.16,0.0761,0.0141,0.4783,0.4783,NA,NA,147177161000,$147.2B,37.3,+3%,+14.7%,+22.1%,+16.8%,51.4,51.4,72.9,50.839999999999996,0.01,Tier 2: Golden Cross
DKNG,NA,44.22,20.46,2026-09-18,GAMBLING,11155322000,NA,14.47,21.21,-0.32,-0.32,-0.211,-0.0242,-0.0268,-0.0472,6222523000,12.55,122832000,118.69,1.846,0.2852,1.628,35.2,5,24,6,0,1,496454000,NA,0.0594,2.091,1.148,DraftKings Inc,CONSUMER CYCLICAL,50,20,15,20,36,72.2,NA,31.22,21.25,25.97,23.1,20.72,43.27,-0.1817,-0.0801,0.0256,-0.5089,23.672,24.1026,26.2406,33.0273,-3.0694,-1.7127,-1.3567,25.9743,21.3697,-0.026,0.4598,11297972.7273,1.2651,8e-4,1e-4,-7e-4,0.0282,750,-0.018,-0.239,0.448,-0.4094,FALSE,FALSE,FALSE,FALSE,Neutral,FALSE,15,20,34.715,30.5699,30,26.2785,767,-0.5722,-0.1585,-0.1467,0.4762,-6e-4,0.0337,-0.1461,-0.2729,1,0,35.3,No Signal,0.08,4.29,Stable,FALSE,7.6%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,NA,344147000,NA,NA,NA,NA,NA,NA,344147000,NA,NA,6054525000,NA,983882000,0.2852,569428000,NA,983882000,0.2852,37.8,39.9,35.8,0,30.6,33.1,33.1,50,5.5,14.4,50,13.9,72.2,32.1,21.6,50,FALSE,30.2,30.2,Weak,Weak,FALSE,FALSE,NEUTRAL,Proven,21.1,-6e-4,Balanced,,21.25,-18.17,44.22,20.46,21.21,118.69,NA,-0.0472,-0.0268,-0.211,0.2852,NA,NA,NA,NA,11155322000,$11.2B,N/A,-18.2%,-8%,+2.6%,-50.9%,32.1,32.1,21.6,39.260000000000005,0.08,No Signal
DKS,NA,242.09,119.27,2026-09-22,SPECIALTY RETAIL,12180838000,13.65,10.31,1.882,9.06,9.06,0.185,0.0642,0.0397,0.0767,21145145000,240.69,2083461000,9.69,-0.257,0.1514,1.141,163.22,4,10,11,0,1,74956000,0.0407,1.036,0.843,64.24,Dick’s Sporting Goods Inc,CONSUMER CYCLICAL,90,75,65,40,26,65.4,NA,69.54,132.36,179.33,237.29,189.36,228.7,-0.2619,-0.4422,-0.301,-0.4213,130.912,173.8218,202.9626,37.9444,-9.7984000000000009,-10.5919,0.7936,141.9258,119.8982,0.5657,1.1981,5826457.1429,1.2424,8e-4,7e-4,-1e-4,0.0251,749,0.0778,-0.0867,0.399,-0.0898,TRUE,FALSE,FALSE,FALSE,Neutral,TRUE,15,20,2.0725,5.6995,70,15.5117,766,-0.3225,-0.3778,-0.4626,0.4921,-0.0032,0.0366,-0.8175,-1.408,1,2,28.16,No Signal,0.11,2.49,Stable,FALSE,10.7%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.3292,616448666.6667,NA,NA,NA,NA,NA,NA,616448666.6667,NA,0.3292,17215120000,NA,913736000,0.1514,5725722000,NA,913736000,0.1514,8.8,11.4,46.1,77.7,3.6,23,23,88.5,90.7,62.4,50,32.5,65.4,65.8,10.6,50,FALSE,26.4,26.4,Very Weak,Very Weak,FALSE,FALSE,NEUTRAL,Proven,14.4,-0.0032,Balanced,MACD,132.36,-26.19,242.09,119.27,1.882,9.69,0.3292,0.0767,0.0397,0.185,0.1514,NA,NA,NA,NA,12180838000,$12.2B,13.7,-26.2%,-44.2%,-30.1%,-42.1%,65.8,65.8,10.6,59.48,0.11,No Signal
DOCN,NA,187.5,33.69,2026-09-23,SOFTWARE - INFRASTRUCTURE,17166615000,66.36,78.74,18.46,2.2,2.2,0.623,0.0386,0.233,0.104,1011113000,10.63,308634000,47.47,-0.245,0.1406,1.57,175.2,3,11,3,0,0,117580000,NA,1.538,17.75,8.86,DigitalOcean Holdings Inc,TECHNOLOGY,25,20,95,75,17,75,NA,57.5,141.21,111.54,145.34,81.42,36.96,0.266,-0.0284,0.7343,2.8206,121.6235,122.725,101.7861,60.406,3.1057,0.6636,2.4421,143.8743,99.3727,0.9401,0.892,2760804.7619,2.1468,8e-4,0.0033,0.0025,0.04,749,-0.0267,0.3884,0.6351,0.991,TRUE,TRUE,TRUE,TRUE,Neutral,TRUE,100,85,46.114,89.6373,70,76.5117,766,2.3144,0.0981,-0.1974,0.4683,0.0022,0.0594,0.5655,0.5993,1,0,27.45,No Signal,0.07,3.45,Increasing,FALSE,7.4%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.5986,133573000,NA,NA,NA,NA,NA,0.9896,133573000,0.9896,0.5986,901427000,921053000,767026000,0.1406,930731000,921053000,767026000,0.1406,79.3,63.7,29.5,0,19.7,48.6,48.6,10.8,10.9,93.8,27,76.3,75,50.2,82.4,50,FALSE,57,57,Neutral,Neutral,TRUE,FALSE,NEUTRAL,Proven,62.9,0.0022,Alpha Leader,GX MACD RSI MA200,141.21,26.6,187.5,33.69,18.46,47.47,0.5986,0.104,0.233,0.623,0.1406,0.9896,0.9896,NA,NA,17166615000,$17.2B,66.4,+26.6%,-2.8%,+73.4%,+282.1%,50.2,50.2,82.4,50.120000000000005,0.07,Tier 2: Golden Cross
DOCU,NA,86.27,40.16,2026-09-18,SOFTWARE - APPLICATION,13202788000,43.07,15.34,7.66,1.64,1.64,0.178,0.0635,0.0982,0.134,3361191000,17.04,441653000,22.24,0.333,0.0797,0.9,69.29,2,2,16,0,1,186902000,NA,0.825,3.738,9.13,DocuSign Inc,TECHNOLOGY,25,40,65,60,21,54.8,NA,48.23,69.49,62.56,42.46,45.71,84.82,0.1108,0.6366,0.5202,-0.1807,66.4555,60.3932,53.6947,61.1516,4.2086,4.4719,-0.2633,72.9048,60.0062,0.7353,0.4992,3807147.619,1.0934,8e-4,0.0011,3e-4,0.0279,749,0.0206,0.0578,0.4423,0.175,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,93.7824,80.829,30,85.0505,766,-0.1855,0.1727,0.6132,0.5,0.0031,0.0327,0.7761,1.4944,1,1,30.95,No Signal,0.07,3.52,Stable,FALSE,7.3%,0,NA,NA,NA,NA,50,Unknown,FALSE,FALSE,NA,NA,0.794,955327000,NA,NA,NA,NA,NA,NA,955327000,NA,0.794,3219500000,NA,528161000,0.0797,1718520000,NA,528161000,0.0797,86,83.4,53.9,47.2,93.8,76.2,76.2,22.3,31.7,59.3,50,50.5,54.8,44.4,87.3,50,FALSE,74.1,74.1,Strong,Strong,TRUE,FALSE,NEUTRAL,Proven,87.6,0.0031,Alpha Leader,GX RSI MA200,69.49,11.08,86.27,40.16,7.66,22.24,0.794,0.134,0.0982,0.178,0.0797,NA,NA,NA,NA,13202788000,$13.2B,43.1,+11.1%,+63.7%,+52%,-18.1%,44.4,44.4,87.3,46.64,0.07,Tier 2: Golden Cross
