symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated,z_pe,z_pb,z_ps,z_peg,z_dcf,z_roe,z_roa,z_roic,z_margin,z_gmargin,z_omargin,z_cr,z_ic,z_de,z_rev_growth,z_earn_growth,z_fcf_growth,z_eps_growth,z_eps_surp,z_beat_count,z_ret1d,z_ret5d,z_ret1m,z_ret3m,z_ret6m,z_ret1y,z_rsi,z_adx,z_trend,z_analyst,z_news,z_beta,z_short,z_vol_ratio,value_score,quality_score,growth_score,momentum_score,safety_score,master_score_raw,confidence_penalty,master_score,master_percentile,value_percentile,quality_percentile,growth_percentile,momentum_percentile,rating,primary_driver,confidence_1d,confidence_5d,expected_return_1d,signal_matches,valuation_ok,popularity_penalty,chase_penalty,sweet_spot_score,sweet_spot_confidence,top15_eligible,sweet_spot_rank,is_unicorn_eligible,unicorn_score,unicorn_confidence,unicorn_rank,tier,score_explanation,rating_with_regime
KO,NA,NA,NA,77.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,21.034447,0.3819,0.968,0.292,78.97,75.6,71.02,FALSE,TRUE,TRUE,TRUE,50,76.5,14.42,16.25,17.01,17199370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,9,20,6,0,35,0.35396108,NA,NA,77.58,-1.82,NA,NA,81.56,65.67,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,57.6,42.9,53.8,66.7,50,31.6,50,57.4,50,50,50,50.1,44.9,50.2,5,45.2,60.5,50.8,50.8,52.4,71,Buy,Momentum,NA,NA,NA,NA,TRUE,0,0,50.6,50,FALSE,NA,FALSE,50,50,NA,Buy,Growth: 52.4th | Momentum: 71th | Quality: 50.8th | Value: 50.8th,Buy (NEUTRAL)
LMT,NA,NA,NA,645.2,645.2,644.4188,NA,NA,NA,NA,NA,NA,NA,NA,51.37,32.43575,1.5216,2.4109,0.187,657.05,614.73,503.93,FALSE,TRUE,TRUE,TRUE,40,88.2,25.06,30.03,27.32,1656695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,4,7,16,1,28,0.20631559,NA,NA,636.33,-1.54,NA,NA,676.7,410.74,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,58.7,66,37.5,29.8,50,22.1,50,52.1,50,50,50,50.6,39.5,48.58,5,43.6,6.5,50.8,50.8,52.4,88.7,Sell,Momentum,NA,NA,NA,NA,TRUE,0,0,49.5,50,FALSE,NA,FALSE,50.2,50,NA,Sell,Growth: 52.4th | Momentum: 88.7th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
LOW,NA,NA,NA,242.11,242.11,242.2821,NA,NA,NA,NA,NA,NA,NA,NA,31.57,37.49984,-3.1216,-2.0589,0.17,260.71,266.88,246.55,FALSE,FALSE,FALSE,TRUE,45,40.9,28.66,27.27,25.42,2801865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,2.07,-4.35,3,52.4,10,16,13,1,40,0.96643317,NA,NA,239.71,-14.742,NA,NA,287.39,210.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,34.5,43.9,50,50,50,50,50,50,26.2,76.3,45.6,53.5,50,71,50,36,50,50,48.1,49.8,54.2,49.94,5,44.9,44.4,50.8,50.8,6.5,35.5,Hold,Quality,NA,NA,NA,NA,TRUE,0,0,49.6,50,FALSE,NA,FALSE,49.2,50,NA,Hold,Growth: 6.5th | Momentum: 35.5th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
LULU,NA,NA,NA,159.91,159.91,160.1172,NA,NA,NA,NA,NA,NA,NA,NA,33.58,25.90252,-3.6262,-2.6812,0.109,174.16,184.03,197.13,FALSE,FALSE,FALSE,FALSE,40,1.2,34.32,39.89,52.1,2296960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,3,31,1,40,1.0153219,NA,NA,159.27,-10.381,NA,NA,341.53,157.78,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,29.5,52.8,37.5,17.1,50,72.2,50,71.8,50,50,50,49.4,65.4,49.96,5,45,50.8,50.8,50.8,52.4,9.7,Hold,Growth,NA,NA,NA,NA,TRUE,0,0,48.7,50,FALSE,NA,FALSE,49.8,50,NA,Hold,Growth: 52.4th | Momentum: 9.7th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
MAR,NA,NA,NA,321.84,321.84,321.2505,NA,NA,NA,NA,NA,NA,NA,NA,42.96,29.90382,-1.1588,-0.1863,0.212,336.58,330.03,288.88,FALSE,FALSE,TRUE,TRUE,45,74.4,27.43,29.22,30.23,1710855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,2.61,-1.15,3,42.2,5,11,14,1,31,1.1479104,NA,NA,327.28,-8.9,NA,NA,359.94,211.12,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,39.8,43.9,50,50,50,50,50,50,44.9,60.9,45.6,38.9,50,63.6,50,52.8,50,50,48.7,50.1,56.3,49.81,5,44.8,39.5,50.8,50.8,9.7,71,Hold,Momentum,NA,NA,NA,NA,TRUE,0,0,49.3,50,FALSE,NA,FALSE,49.5,50,NA,Hold,Growth: 9.7th | Momentum: 71th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
MCD,NA,NA,NA,326.65,326.65,327.3357,NA,NA,NA,NA,NA,NA,NA,NA,49.82,21.36136,0.3467,0.7955,0.284,330.16,320.22,308.42,FALSE,TRUE,TRUE,TRUE,50,74,14.53,14.97,17.8,3212135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,3.04,-0.33,1,45.6,8,17,16,2,43,0.5013121,NA,NA,326.3,0.155,NA,NA,341.06,285.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,41.1,7.4,50,50,50,50,50,50,56.1,43.6,53.8,43.7,50,41,50,59.8,50,50,47,50.1,49.3,48.99,5,44,16.1,50.8,50.8,1.6,71,Sell,Momentum,NA,NA,NA,NA,TRUE,0,0,49.1,50,FALSE,NA,FALSE,48.8,50,NA,Sell,Growth: 1.6th | Momentum: 71th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
MPC,NA,NA,NA,228.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.83,NA,4.6465,4.0933,0.876,210.03,193.44,182.49,TRUE,TRUE,TRUE,TRUE,55,99,37.88,36.32,35.49,2778330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,12,11,0,25,0.68009293,NA,NA,233.26,16.899,NA,NA,230.07,118.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,87.3,50,62,38.6,50,52.6,50,40.6,50,50,50,51.1,48.2,49.68,5,44.7,36.3,50.8,50.8,52.4,97.6,Hold,Momentum,NA,NA,NA,NA,TRUE,0,0,49.9,50,FALSE,NA,FALSE,50.4,50,NA,Hold,Growth: 52.4th | Momentum: 97.6th | Quality: 50.8th | Value: 50.8th,Hold (NEUTRAL)
MSFT,NA,NA,NA,399.95,399.95,398.6022,NA,NA,NA,NA,NA,NA,NA,NA,42.72,22.37989,-1.4849,-1.9391,0.488,400.27,427.69,482.97,FALSE,FALSE,FALSE,FALSE,50,24.2,22.72,32.5,26.31,33643815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,24,36,6,0,66,1.0913693,NA,NA,399.95,1.009,NA,NA,542.07,354.56,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,44.5,45.6,53.8,78.5,50,67.3,50,56.2,50,50,50,49.7,58.8,51.64,5,46.6,96,50.8,50.8,52.4,27.4,Strong Buy,Growth,NA,NA,NA,NA,TRUE,0,0,50.9,50,FALSE,NA,FALSE,49.9,50,NA,Strong Buy,Growth: 52.4th | Momentum: 27.4th | Quality: 50.8th | Value: 50.8th,Strong Buy (NEUTRAL)
NKE,NA,NA,NA,54.79,54.79,54.7147,NA,NA,NA,NA,NA,NA,NA,NA,29.89,25.22927,-4.0058,-2.8621,0.17,60.17,62.35,67.18,FALSE,FALSE,FALSE,FALSE,30,5.9,26.38,38.64,41.21,16243700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.38,39.47,4,48.9,11,15,16,2,44,1.3411784,NA,NA,55.12,-14.393,NA,NA,79.24,53.27,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,62.2,50,50,50,50,50,50,23.5,51.4,21.1,48.5,50,51.2,50,73.2,50,50,55.6,49.2,57.4,51.78,5,46.8,100,50.8,50.8,100,3.2,Strong Buy,Growth,NA,NA,NA,NA,TRUE,0,0,51.1,50,FALSE,NA,FALSE,52,50,NA,Strong Buy,Growth: 100th | Momentum: 3.2th | Quality: 50.8th | Value: 50.8th,Strong Buy (NEUTRAL)
NOC,NA,NA,NA,735.96,735.96,733.7355,NA,NA,NA,NA,NA,NA,NA,NA,55.87,21.69633,1.9422,2.5187,0.531,733.85,690.54,594,TRUE,TRUE,TRUE,TRUE,50,89.7,32.75,32.33,29.11,883670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,11,12,0,28,-0.022006929,NA,NA,724.03,3.596,NA,NA,768.02,456.3,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,66,44.2,53.8,45.7,50,7.4,50,36.2,50,50,50,50.4,28.8,48.23,5,43.2,3.2,50.8,50.8,52.4,84.7,Sell,Momentum,NA,NA,NA,NA,TRUE,0,0,50,50,FALSE,NA,FALSE,50.1,50,NA,Sell,Growth: 52.4th | Momentum: 84.7th | Quality: 50.8th | Value: 50.8th,Sell (NEUTRAL)
