symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated
LMT,NA,NA,NA,645.2,645.2,644.4188,NA,NA,NA,NA,NA,NA,NA,NA,51.37,32.43575,1.5216,2.4109,0.187,657.05,614.73,503.93,FALSE,TRUE,TRUE,TRUE,40,88.2,25.06,30.03,27.32,1656695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,4,7,16,1,28,0.20631559,NA,NA,636.33,-1.54,NA,NA,676.7,410.74,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
LOW,NA,NA,NA,242.11,242.11,242.2821,NA,NA,NA,NA,NA,NA,NA,NA,31.57,37.49984,-3.1216,-2.0589,0.17,260.71,266.88,246.55,FALSE,FALSE,FALSE,TRUE,45,40.9,28.66,27.27,25.42,2801865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,2.07,-4.35,3,71.9,10,16,13,1,40,0.96643317,NA,NA,239.71,-14.742,NA,NA,287.39,210.83,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
LULU,NA,NA,NA,159.91,159.91,160.1172,NA,NA,NA,NA,NA,NA,NA,NA,33.58,25.90252,-3.6262,-2.6812,0.109,174.16,184.03,197.13,FALSE,FALSE,FALSE,FALSE,40,1.2,34.32,39.89,52.1,2296960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,5,3,31,1,40,1.0153219,NA,NA,159.27,-10.381,NA,NA,341.53,157.78,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
MAR,NA,NA,NA,321.84,321.84,321.2505,NA,NA,NA,NA,NA,NA,NA,NA,42.96,29.90382,-1.1588,-0.1863,0.212,336.58,330.03,288.88,FALSE,FALSE,TRUE,TRUE,45,74.4,27.43,29.22,30.23,1710855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,2.61,-1.15,3,66.1,5,11,14,1,31,1.1479104,NA,NA,327.28,-8.9,NA,NA,359.94,211.12,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
MCD,NA,NA,NA,326.65,326.65,327.3357,NA,NA,NA,NA,NA,NA,NA,NA,49.82,21.36136,0.3467,0.7955,0.284,330.16,320.22,308.42,FALSE,TRUE,TRUE,TRUE,50,74,14.53,14.97,17.8,3212135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,3.04,-0.33,1,68,8,17,16,2,43,0.5013121,NA,NA,326.3,0.155,NA,NA,341.06,285.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
MPC,NA,NA,NA,228.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.83,NA,4.6465,4.0933,0.876,210.03,193.44,182.49,TRUE,TRUE,TRUE,TRUE,55,99,37.88,36.32,35.49,2778330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,2,12,11,0,25,0.68009293,NA,NA,233.26,16.899,NA,NA,230.07,118.55,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
MSFT,NA,NA,NA,399.95,399.95,398.6022,NA,NA,NA,NA,NA,NA,NA,NA,42.72,22.37989,-1.4849,-1.9391,0.488,400.27,427.69,482.97,FALSE,FALSE,FALSE,FALSE,50,24.2,22.72,32.5,26.31,33643815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,24,36,6,0,66,1.0913693,NA,NA,399.95,1.009,NA,NA,542.07,354.56,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
NKE,NA,NA,NA,54.79,54.79,54.7147,NA,NA,NA,NA,NA,NA,NA,NA,29.89,25.22927,-4.0058,-2.8621,0.17,60.17,62.35,67.18,FALSE,FALSE,FALSE,FALSE,30,5.9,26.38,38.64,41.21,16243700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.38,39.47,4,69.9,11,15,16,2,44,1.3411784,NA,NA,55.12,-14.393,NA,NA,79.24,53.27,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
NOC,NA,NA,NA,735.96,735.96,733.7355,NA,NA,NA,NA,NA,NA,NA,NA,55.87,21.69633,1.9422,2.5187,0.531,733.85,690.54,594,TRUE,TRUE,TRUE,TRUE,50,89.7,32.75,32.33,29.11,883670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8,5,11,12,0,28,-0.022006929,NA,NA,724.03,3.596,NA,NA,768.02,456.3,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
NSC,NA,NA,NA,290.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.89,NA,-0.9953,0.1519,0.044,308.5,300.19,284.15,FALSE,FALSE,TRUE,TRUE,45,75.7,16.41,20.06,22.61,1402320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,3,7,17,0,27,1.3316989,NA,NA,NA,NA,NA,NA,317.83,206.34,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
OXY,NA,NA,NA,57.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.38,NA,5.307,4.9733,0.843,53.12,47.74,44.52,TRUE,TRUE,TRUE,TRUE,55,94.8,44.8,38.41,38.43,20020390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,4,7,16,5,32,0.36550978,NA,NA,57.73,26.279,NA,NA,58.41,36.11,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
PEP,NA,NA,NA,157.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.05,21.93355,-0.0431,0.8286,0.099,163.77,156.46,146.19,FALSE,TRUE,TRUE,TRUE,40,69.9,19.4,21.92,22.34,6504150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,3,10,15,1,29,0.40315408,NA,NA,156.5,-2.485,NA,NA,170.49,128.02,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
PG,NA,NA,NA,152.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.14,22.33332,-0.5968,0.3706,0.189,158.38,153.1,153.29,FALSE,FALSE,FALSE,FALSE,50,41,24.56,20.23,18.98,10117500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,8,14,12,1,35,0.38488147,NA,NA,151.48,-5.058,NA,NA,172.39,138.04,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
PLTR,NA,NA,NA,152.72,155.08,155.2306,NA,NA,NA,NA,NA,NA,NA,NA,55,20.13505,0.8984,-0.4309,0.734,143.85,153.35,162.95,TRUE,FALSE,FALSE,FALSE,65,59.1,36.91,53.71,60.23,52296750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,8,14,10,1,34,1.7631309,NA,NA,155.08,16.584,NA,NA,207.18,74.01,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
PSX,NA,NA,NA,173.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.79,NA,3.6182,3.0753,0.935,161.35,151.56,135.02,TRUE,TRUE,TRUE,TRUE,45,99.2,27.62,30.87,36.48,3385995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,3,10,13,1,27,0.8721456,NA,NA,172.71,10.095,NA,NA,174.09,92.87,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
